count,hate_speech,offensive_language,neither,class,tweet
3,0,2,1,1,RT @iAintGottaRap: Ead RT @Fat_Rell: Especially after Rita died.. RT @Kayla_Applebum: Dexter was just as trash as Breaking Bad.
3,1,2,0,1,RT @ibethathigh_RNS: She called me Mexican is that all she have on me tho? IM A PROUD HISPANIC BITCH sure liked this dick tho hoe.
3,0,3,0,1,Everyday I wake up I got a different bitch
3,0,3,0,1,&#8220;@NotGrimey Dnt blame niggas when a female see ya hoe ass ways. Go listen to some JT Money fruitcake&#8221;
6,0,0,6,2,GM....don't be the bird that didn't get the worm today #GoStampsGo84
3,0,3,0,1,I love money fuc a bitch I won't stress myself !
3,0,2,1,1,Choate Chokes On Twinkies&gt; All the damn time I bet. #lol #Cardinals
3,0,3,0,1,"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;"
3,1,2,0,1,@BraXXXedelic fight that shit say you're on free lunch and they must have the game fucked up cause you're colored like the rest of them
3,0,3,0,1,@aj2amazing you already know mane since 6th grade I've been killin hoes
3,0,3,0,1,"Get my name tatted, right by ya pussy &#128137;&#128008;&#128700;"
3,0,2,1,1,It makes me sad knowing this queers won't be down the street anymore. @TheOneMiss_Luu @OliviaLuu3 #SadTweet
3,0,3,0,1,"RT @RakwonOGOD: ""You ugly anyway"" 
""You a hoe anyway"" - a nigga who just got curved but won't accept it"
3,0,3,0,1,@NayNooski @kboavz which one bobby bitch or hot nigga?
3,0,3,0,1,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot"
3,0,3,0,1,@aaymee29 no that's fucking retarded are you drinking tonight or not?
3,0,3,0,1,"RT @JaazieL_: Bitches will tell you, it's all about the angles &#128129; RT &#8220;@40oz_VAN: Watching my bitch take 25 selfies just to get that right 1.&#8221;"
3,0,3,0,1,@BekySawyer boats and hoes
3,0,3,0,1,RT @CauseWereGuys: Texting bitches at 11:12 to make their dreams come true
3,1,2,0,1,@ThatAssholeAlan nick background my nigger
3,0,3,0,1,"RT @TheAlexP: Yelled out ""come on bitch!"" At myself, by myself, lifting weights as motivation...thanks guys, you always have my back."
3,0,0,3,2,@craigcalcaterra Hes behind the plate for the game tonight here in AZ. Im looking to buy a red&amp;yellow Balkamania shirt I can tear off there.
3,0,2,1,1,@KimW16 and the plastic surgery of a tranny.
3,0,3,0,1,Lil riri sittin pretty while u bitches layin petty
3,0,3,0,1,I'm up and at it before the birds wake up so you can't tell me shit.
3,0,3,0,1,Run out with the baldhead bitch thing....
3,1,2,0,1,See why these pussies need their guns! http://t.co/6CHtQNr3mU
3,0,0,3,2,@TylerCarboner hey I'll leave Abbey too! Oh if I get a job on the slope I might move back! Cause id lose out on lots of money buying tickets
3,0,3,0,1,"i was never mean to you after we broke up ,you keep making me seem like an ass. i never went off to party and fuck bitches"
3,0,2,1,1,"RT @skankymunter: Pissed in shower, now checking for yellow legs."
3,0,3,0,1,@Woahitsjulian whatchu doin today nig?
3,0,3,0,1,"RT @truudayyb: Where'd you get the beauty scar tough guy, eating pussy .. #Scarface"
3,0,3,0,1,The hoes be rated E !
3,0,2,1,1,@WorIdStarFvnny @alysssa_3 bitch please http://t.co/2QysCT5INk
3,0,3,0,1,"&#8220;@BasedChasen: Grandmas always b asking you ""Do you have a girlfriend???"" No....I got hoes tf you mean&#8221; real shit."
3,0,3,0,1,I just wish some females would look in the mirror b4 they hop on social networks &amp; talk down on hoes.
3,0,2,1,1,I hope you realize that your both retarded
3,0,3,0,1,"&#8220;@Kxng_Jase: Versace Versace, I talk shit on twitter and so that bitch blocked me&#8221;@bremarie17"
3,0,3,0,1,Can this bitch hurry up... #INeedMyEigth
3,0,0,3,2,RT @_lvrking: chris brown is trash.
3,0,2,1,1,@RealNoth no wonder your career is in the dump that's where trash like you belongs. Thanks to @greggutfeld for pointing out your true colors
3,0,3,0,1,RT @bethanylynn__: &#8220;@WhitDAWGem_: There is nothing wrong with Ariana Grande..... Just cause she don't look like hoe.... Y'all gotta a probl&#8230;
3,0,3,0,1,Yea I see ya hoe
3,1,2,0,1,RT @VuIture: This bitch eyebrows lookin like the bulls logo http://t.co/5EtOrG5GBT
3,1,2,0,1,@kincade00 you seen it hoe put that cash up bitch imma take your money and spit on your fat ass
3,0,3,0,1,RT @littlemspaige_: All my bitches bigger than me they where sizes 9-11&#128514;&#128514;&#128514; so I can't fit they shit I'd looked dumb af
3,3,0,0,0,you're all niggers
3,2,1,0,0,@young_moniee what's this chinks email? I'm moving to China and slicing his throat
3,0,3,0,1,"""@TheNewSAT: #NewSATQuestions
Yeah bitch, yeah bitch, call me _______:
a.) Maybe
b.) Steve-O
c.) Later
d.) Jesse Pinkman""
@machinegunkelly"
3,0,3,0,1,RT @TheRealHoneyMoe: I don't care about bitches. Hoes be into it with they damn self&#128553;&#128175;
3,0,3,0,1,"""@TyJonCuffee: And if you ain't a hoe get up out my traphoussseeeee"""
3,0,3,0,1,Did we just become best friends with these hoes on the boat? Well probably so but we don't love em tho
3,0,3,0,1,"RT @ImKnownAsDevin: Just cause somebody put ""bad"" in front of it yall okay with being called a bitch"
3,0,3,0,1,RT @HoldMyCrown_23: &#8220;@daniellurrr: damn these bitches in middle school look grown af in these nudes&#128563;&#8221;
3,0,3,0,1,Funny 2 see gay men with #grindr profiles bitch on tv about privacy rights.
3,0,2,1,1,I'm fine af in that hoe
3,0,3,0,1,Daiya Nagore gets her pussy fucked and sucks cock for&#160;pleasure. http://t.co/7a44FXx8Oy
3,0,3,0,1,i still don't understand why bitches at my high shool would put on false eyelashes every fucking day
3,0,3,0,1,@xDSmooth bitch give me my lighter or get shot
3,0,3,0,1,Lil dumb ass bitch I ain't fucking with you
3,0,0,3,2,"I know right. Get one guy out!! Man! @pjmclaugh: You had ONE JOB, Josh@Nobz13 Outman! #Yankees&#8221;"
3,0,3,0,1,I'm sick of you hoes oml
3,1,2,0,1,RT @UnapologetiicB: What's it like being a cold hearted cunt?
3,0,3,0,1,Never seen a pussy he didn't like.
6,1,4,1,1,@JoeBiden is such a retard! &#8220;@irritatedwoman: Biden Calls Himself &#8216;White Boy&#8217; in Meeting With Black Pastors http://t.co/bqx1IEv0wD&#8221;
9,0,9,0,1,"One big school, full of fake bitches."
3,0,3,0,1,@IamEnidColeslaw He must think you bump pussy. I no mind. I'll eat your #thong and make you #squirt like the #geyser.
3,0,1,2,2,Time to start listing to il spook
3,0,3,0,1,Irie is a bitch for not letting me borrow his charger.
3,1,2,0,1,Don't trust a bitch who's nail polish is chipping off.
3,0,3,0,1,Happy Birthday nigguh keep your blunts fat and your cups filled :) @BigDaddySniper
3,0,3,0,1,RT @tbhbooty: Latina pussy be like http://t.co/VORy1vgH4U
3,0,3,0,1,&#8220;@JalapenoBright: This hoe waited until she got 45 to make a sextape chile.. http://t.co/r9gMmImakO&#8221; OH MY LORD&#128561;
3,0,3,0,1,"""It's never too late to tag a bitch.""- @CyFyre"
3,0,3,0,1,"[9-1-13] 2:50 pm ""son of a bitch ate my mac n cheese"" http://t.co/My5oJYZ8w9"
3,0,3,0,1,She fuckin wit a young niggah
3,0,3,0,1,That's a legal tackle faggot RT @PP_Rich_Hill: Seriously? http://t.co/lMyhrBKxZX
3,0,3,0,1,&#8220;@Asaprelli_: I hate girls who get drunk &amp; don't turn into hoes fvckin waste of alcohol&#8221; &#128514;&#128557;
3,0,3,0,1,Never argue with a bitch that's at the bottom of the food chain. &#128129;
3,0,3,0,1,"Them shootas is out by my grandmoma house, I ain't been round this bitch in a MINUTE"
3,0,3,0,1,This headache is a bitch &#128543;&#128548;
3,1,2,0,1,@whiteangelss84 @fields_devante mmm where the fuck is that at honkey? U need to wake up and realize its 2013 and get off of the skin
3,1,2,0,1,RT @iDntWearCondoms: I don't do nothin for no bitch that she wouldn't do for me
3,0,3,0,1,RT @HtOwNzOuTLaW713: Keshawn Martin is soooooooooo fucking trash!!!
3,0,0,3,2,"POLLOS A L'AST

Dos pollos estaban dando vueltas en una poller&#237;a mientras los estaban cocinando a l'ast, cuando... http://t.co/fXeEAJmyfZ"
3,2,1,0,0,People get more and more retarded everyday
3,0,0,3,2,"I'm Camera Shy, Don't Talk on Phones and Love when it rain.....If youn kno the life you wouldn't understand"
3,0,2,1,1,"Good day, honkies."
3,0,3,0,1,RT @Dirrttyydan: Chi ain't no bitch then you got them Assyrian kings on California and Peterson &#128081;&#128081;
3,0,3,0,1,&#8220;@CuffablePisces: TONY ROMO in my #Top10QBs bitches&#8221; http://t.co/17sA90xG2H
3,1,2,0,1,Fucken pussy
3,0,1,2,2,@_BDOE bro u trash at that zombies
3,0,3,0,1,"RT @krisinizu: I'm telling you, shaved pussy is ugly."
3,0,3,0,1,Slut ass queen bee bitch.
3,2,1,0,0,"RT @JakeWaller97: Do you ever just see someone's account and think ""wow what a faggot"" but at the same time you can't unfollow bc u can't m&#8230;"
3,0,2,1,1,RT @Ryder_LetsGetIt: &#8220;@ItsNotHarold: I say if a girl got 7 bodies or more and she 20 or younger she a hoe&#8221; ON GANG !
3,0,3,0,1,@HipsterBreeez Na a young bitch got school &#128514;&#128514;&#128514;
3,0,3,0,1,RT @hilaryde92: Always a fat bitch in the handicap spot but never a dude in a wheelchair.
3,0,3,0,1,@ResiDinero if we finna hoop inside or out fucking retard that's what I'm saying let me know allergic reaction lip ass nigga
6,1,5,0,1,"RT @Fewjr: I don't trust nobody.&#128532;&#128076;

These bitches fake. &#128073;&#128131;

These niggas faker. &#128073;&#128694; 

So it's not ""fuck y'all"", I'd rather just not fuck wi&#8230;"
3,0,0,3,2,Mitt Romney hates big bird. Fascist.
6,2,4,0,1,Taught ma lil niggah how to treat a girl
6,0,0,6,2,@DannyMndz93 @Titan21Mtzzz he's still a pogue though
3,0,3,0,1,Lord RT @Bbbnnnnnnas: @cocainemodel just shut up you pathetic ass bitch you're so worthless
3,0,1,2,2,@aj2amazing Obispo ho. We'll do it big
3,0,1,2,2,A pharaohs nd his angry bird http://t.co/jMC2eR32Ka
3,0,3,0,1,I looked retarded
3,2,1,0,0,U coons can't wait to wear them Oreo J's
6,1,5,0,1,She even had a hoe name.
3,0,3,0,1,@BitchImaStunna @VeshaaCouture lmao bitch shut up
3,0,2,1,1,&#8220;@TrapFuhrer: When her nudes trash you gotta draw clothes back on her and send em back http://t.co/jX7Mc32BkV&#8221;&#128128;&#128128;&#128128;&#128128;&#128128;
3,0,3,0,1,Word... But what r Dms? RT @BakeGriffin A twitter crush is some bitch shit. Man up &amp; enter her Dm's bruh
6,0,6,0,1,And by YALL I mean.... Whoever running back telling tunchi wtf I'm doing that's not my nigga dog niggas nd bitches &#128175;
3,0,3,0,1,#honestyhour we don't love these hoes
3,0,0,3,2,"@AndrewTaran That's a nice color combo too, love the blue and yellow."
3,1,0,2,2,@Buckm00se @LEXXX_RUGER @ivanrabago_ the kikes want to charge you &#128175; dollaz for the complete version http://t.co/ZJDLwiAjEo
3,1,2,0,1,"This faggot in a truck was tailgating me, so I hit my breaks, he cut me off I switched lanes he cuts me off again to be a little biatch then"
3,0,3,0,1,"Girls are so fucking grimy today, keep your vagina in your pants you dirty hoe"
3,0,3,0,1,@Smokey_Bahr Go get that sum bitch
3,0,0,3,2,"RT @LizardLickTowin: - @CMchatLIVE #CMchat why do U think its so hard for""hick hop""2get major air time on most stations #cmchat when it's w&#8230;"
3,0,3,0,1,If you ain't my bro... Your bitch single In My eyes &#128514;&#128170;
3,2,1,0,0,Ayy Carlton is a ghetto school now #SwitchedAtBirth
6,0,1,5,2,"""Bae"" sounds like such a ghetto word. Use something else"
3,0,3,0,1,"RT @khloewithoutheC: @TypicalMinions: when ur with ur friend and a bitch u both hate walks past http://t.co/LPLAYEfI7q"" @felferrara us as n&#8230;"
3,0,3,0,1,"@kieffer_jason bitch what? I did show up then I tweeted,dm, texted then called u and I asked u were tryna meet up bitch ur fucking weak."
3,0,2,1,1,"RT @femaIes: a girl tweeted ""you might be ghetto if u bring food from outside into the movies""

no u might be stupid if u pay 4.99 for a ba&#8230;"
3,0,0,3,2,The birds and the bees &#128038;&#128029;
3,0,3,0,1,Get your own picture bitch.
3,0,1,2,2,@c_drew_ I'm guessing so. The players are talking trash.
3,0,0,3,2,RT @scottiken: It's settled. The Ding Dong is far superior than the Twinkie.
3,0,3,0,1,RT @LeNoirAuteur: bitch don't do this RT @AZEALIABANKS: &#128078;
3,0,3,0,1,Why can't there be bomb single bitches available on tap?
3,0,3,0,1,"I hate hoes who be looking all nice nshit with their hair and nails done, but they kids look like they BARELY survived a tornado"
3,0,3,0,1,"RT @mckinley719: ""@wizkhalifa: Pretty bitches rep Taylor Gang"" #Hollah lmfaoo"
3,0,3,0,1,"Baby I can make that pussy rain, often"
3,0,3,0,1,RT @pandaapussy: The day I have clear skin will be the day I'm the happiest cockiest bitch alive
3,0,3,0,1,&#8220;@LickMyWhooooop: @vintage_monroe_ @JustDoItSlow it aint bundles soooo nope&#8221;it is bitch she happy hosting
3,3,0,0,0,"Aint nobody wearing those new Westbrook ""Jordan's"" but Mexicans &amp; trailer park trash white girls."
3,0,2,1,1,RT @EisenbackEmily: I hate when people leave their trash in my car.
3,1,2,0,1,@SayitAINTChey! This bitch is RTing hella cheese tweets right after I said I was lactose intolerant!! Why you gotta do that to me?! ;c
3,0,3,0,1,Lol my porn name is master licker wtf y I gotta have dat bitch ass name
3,0,3,0,1,"@1D_NIPPLES_ bitch you fucking told me to sit in that seat and yo dumbass come again saying ""why you sitting there"" bitch #vote5sos"
3,0,2,1,1,I guarantee there will b some hot twats out tonight in dresses with no leggings and open toed shoes.
3,0,2,1,1,OMG This bitch on the Tico wont STFU ALREADy!!!!
3,0,3,0,1,@Teampowerstroke hoes will be hoes nothing but something guys just dispose #TruthBeTold
3,0,3,0,1,RT @CoryLafon: &#8220;@Gvmby: This bitch possessed by the thot demon. https://t.co/CZTh5NhUDu&#8221;LMFAOOOOOOOOOOOO
3,0,3,0,1,"It's lame that you can buy clothes that look like real military clothing.
If you wear it I will make fun of you.
You're a 4 star bitch."
3,0,1,2,2,"@Gertrude_Larue 
I is colored, Latino and some Jewish. When I move in, I don't ruin the neighborhood, I wipe it out!"
6,1,5,0,1,Okay so I know I'm like ten years late but I freaking HATE Ana Sofia from Lost fuck that dumb bitch wtf is her problem &#128545;&#128545;&#128545;&#128545;&#128545;&#128545;&#128545;&#128545;&#128545;&#128545;&#128545;
3,1,2,0,1,RT @A2daO: When dykes surround you https://t.co/yWegZs78Om
3,1,2,0,1,You're a dumb bitch. Wow.
3,0,3,0,1,@iiAK lmaoo boy how you think Benny heard it lol i was blasting that bitch
3,0,3,0,1,Damn I'm in da mood to eat sum pussy who got it fresh on a platter for me # teamfluffnevabluff
3,0,3,0,1,"@kieffer_jason bitch am not your fam and wtf is skrong, who says shit like that get your wack ass off my page lamo"
3,1,2,0,1,' Elza M. Jones Was whipppppppen and drifting last night lol we was tu this ma niggah http://t.co/wAqAmR4BGU
3,2,1,0,0,Your retarded.
3,0,3,0,1,"niggah 
hurry up"
3,0,0,3,2,#Yankees If Royals have a fire sale. I want the whole team!! Leave Gardner and Tanaka. The rest can please go. Along with Joe and Cash.
3,0,3,0,1,"New years ever, get at me bitch. #loaded #GFU #2013 #&#127881; http://t.co/3kkviDM5"
3,0,3,0,1,@FOLLOWNOVA Yooo I was thinking bout that the other day lol.. You only really speaking of one person my niggah
3,0,3,0,1,"It's kind of funny when people tell me they haven't seen me in years, and where have I been. Like at home bitch"
3,1,0,2,2,Kanyeeeeeee is just a yard ape acting idiot!just stupid...
3,0,3,0,1,Don't subtweet me @ my name so I no it's real ugly bitch
3,0,2,1,1,Bae gotta bitch &#128514; whoops &#128564;
3,0,0,3,2,Literally in the middle of the ghetto and these people look scary
3,0,3,0,1,These smoking commercials be blowing me. Like bitch it's yo fault yo child was premature shouldn't have been smoking while you was pregnant
3,1,2,0,1,"@coolieDAGGERA @CapoToHeaven why wld u wanna be a faggot, dude? That's faggot like"
3,1,2,0,1,"&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;""@AlisaRenee: you a faggot if you eat pork chops."""
3,0,3,0,1,@baaaabyshaaaay_ My niggah!!
3,0,2,1,1,It's only 9:12 AM here but I'm about to pour up some pineapple ciroc &amp; blast this Future mixtape at maximum levels because bitch Im in Vegas
3,0,3,0,1,RT @Rayban_Guwop: If money&#128181; was my girl&#128143; id stalk that bitch.&#128520;&#128270;&#128294;&#128064;&#128175;&#128174;&#127796;
3,0,3,0,1,RT @chaniiyyaa: Wayne really treat nicki like that's his bitch &#128564;&#128525;&#128553;....
3,0,3,0,1,Only keep real bitches in attendance &#128109;&#128129;
3,0,3,0,1,RT @SLeyTMF: Too many bitches not enough queens
6,0,5,1,1,Bad bitch with me and you kno that her ass is fat
3,0,3,0,1,@chandraingram95 sounds like you bout to smack a hoe
3,2,1,0,0,RT @GottaLuvLexci_: &#128557;&#128557;&#128557;&#128557;&#128557; RT @MyHips_DntLie: Tight pants and loud colors!!! You look like a fag! &#128557;
3,0,3,0,1,@KINGDOMMINDED__ @_lostb0y fuck off my pussy boi bitch
3,1,2,0,1,&#8220;@RyeOrDie: Niggas want pussy. I ain't giving any out. Here is where lies our dilemma.&#8221; That's cool
3,0,0,3,2,Tonight starts the road the Super Bowl for the @Browns! Here we go brownies here we go! WOOF WOOF #Browns2014Draft
3,1,2,0,1,@Jwreich142 @SteveWorks4You teabaggers are extremely dumb...
3,0,3,0,1,@MIKEB_IN_THE_D rams are for fags
3,0,3,0,1,don't give ah fuck about ah bitch or ah nigga!!!
3,0,3,0,1,@kaymckinneyy suck ass bum ass Yankees foh
3,1,2,0,1,"Idgaf about you, or ya mens, ya bitch, none of these bitches. Y'all all can fuck off for all i care."
3,0,3,0,1,Wayne crazy.... New Orleans ass nicca lol
3,0,3,0,1,Monday like Saturday bitch#Turnup
3,0,0,3,2,"@QVC strawberry shortcake. Stacked with whipped cream, yellow spunge-cake, &amp; sliced #strawberries freshly picked from the farm w/ my kids."
3,0,3,0,1,Angel stop rting that fugly bitch
3,0,3,0,1,@BrendaGisselCA that you got hoes damn
3,0,3,0,1,"RT @Juicedballs: Not scared to pepper spray a bitch

*Hand gently resting on fanny pack*"
3,0,3,0,1,retweeting ah bitch tweet is flirting nowadays
3,0,3,0,1,Why are you the only thick character in the game? Why I gotta play a skinny bitch? @KimKardashian
3,0,2,1,1,@ISpeakESPINAL i love seing new ones cause i save them and then youse them bitches lmfao
3,1,2,0,1,too many grown man out here worryin' about the friendzone....yall got priorities fucked my nig
3,0,3,0,1,"Apparently, saying something nice to someone these days means you're trying to stick them with your poker. Get over yourselves bitches."
3,0,2,1,1,"I'm just saying, in your twitter pic you look like such a guido and i love it #pattyfuckingboges"
3,0,3,0,1,You like where the hell is yo bitch meanwhile yo bitch like where the hell is yo clique #ayeeeee
3,0,3,0,1,@kayysavage bitch &amp; if they wasnt &#128514;&#128557;
3,0,0,3,2,"Because if nobody was judging the birds, this account wouldn't even cause a ripple in d ocean"
3,0,3,0,1,if u get mad or in ur feelings bout Zoe's vs Yanks tweets then twitter ain't for u!!! I be rolling at this shit tho&#128553;
3,1,2,0,1,RT @ivanrabago_: @InfamousCoryOG @_WhitePonyJr_ @EakaErick there's only like one retarded fucking beaner that does and he's a stupid ass ex&#8230;
3,0,3,0,1,&#128530;RT @LiViBADD88: so many pretty bitches coming to my birthday dinner &#128556;
3,0,2,1,1,RT @yungkatana: free wop
6,0,5,1,1,I don't get what standing on Ya tip toes does for these pics these hoes be taking
3,0,0,3,2,"I used to get GRs a lot, tho. maybe that's why my soles cracked so much... http://t.co/lRCb0vabiG"
3,0,3,0,1,It's bout that time were I feel like beening a hard working woman .....and a stripper hoe by night don't judge me &#128175;&#9996;&#65039;&#128514;
3,0,0,3,2,"@MAGNEDETH But seriously, it's the only reason I use a Mega whatsoever. Pure favoritism. Also those sweet fuzzy wings."
3,0,0,3,2,remember when the dude who played young ned followed my youtube channel. this was when i actually used my youtube for more than favorites
3,2,1,0,0,@Buckm00se all us beaners were pissed like robert when the jew ref stopped it
3,0,3,0,1,RT @Lilbyrdy: If you only star tweets in hopes that you will magically get pussy...good luck and keep it up.
3,0,3,0,1,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b"
3,0,3,0,1,Yas bitches http://t.co/yey8ml5snK
4,0,4,0,1,@sotoo_dean We were supposed to work together today bitch
3,0,3,0,1,RT @VH1PNUT TWITTER WHATS THIS MEAN ? RT @Ay_W_ I come alive in the night time + Sleep all day hoe all night.
3,0,3,0,1,This ma niggah @trigga_tre123 &#128076;
3,0,2,1,1,This hoe reathie be tripping &#128514;&#128514;&#128514;&#128514;
3,1,2,0,1,"Don't talk to her like that. RT @PaulConroy: @lezarub @tragedy6358 I did a search for ""lying evil cunt"" and guess what? You came top x"
3,0,3,0,1,"You got dykes, I got the Vic's"
3,0,3,0,1,henny cups on all that ice bitch i'm froze up
3,1,2,0,1,"""@__taradise__: Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!"
3,0,1,2,2,"Grr... Woke up ickblah. Congestion ew chunky bloaty gross. Missed the gym. 1 1/2hr wait for the Dr. 
 Boo Friday. 
#whineytweet"
3,0,3,0,1,"I really wanna have a talk about life with the ""fuck her right in the pussy"" dude while smokin a blunt before I die"
3,0,3,0,1,If you say anything about me I'll knock ur boyfriend out. Go for it bitch. Your boyfriend is a pubeless runt.
3,0,3,0,1,@_chrisbrownn14 fuck bitches get money
3,0,3,0,1,"@popularcritic1 @discordianslip @fredrogers75 And you thought a camera would steal your soul. Shut the fuck up, you stupid twat."
3,0,3,0,1,"RT @FirearmsDaily: Statistics don't lie, if you like gun control you're a queer guy. #FD"
6,1,5,0,1,Damn change change niccas
6,1,5,0,1,"Omg he's at it again. He's the most pathetic, spineless, no balls having piece of trash on twitter I've ever seen. Let me go throw up, blah."
3,0,3,0,1,RT @XndSeanX: If you're going to be a bitch and not come to the show because some bands dropped then w/e. More moshing room for me in that &#8230;
3,0,3,0,1,"RT @robdelaney: I put my pants on one leg at a time, just like you guys. But then I eat a plus-size model&#8217;s pussy in my helicopter."
3,1,2,0,1,"RT @FemsHaveBallz: LOL at my mentions 

Liberal1: you're a racist bitch

Liberal2: yeah kill all whites

(Liberal1 is white)

Liberal1: Not&#8230;"
3,2,1,0,0,you're such a retard i hope you get type 2 diabetes and die from a sugar rush you fucking faggot @Dare_ILK
9,0,9,0,1,this bitch
3,0,3,0,1,Fuck ms. Patrick that bitch can't teach for shit
3,0,3,0,1,3 years today I was a fucking retard and fell in love. Why was I so stupid? Wish I was coldhearted. #neverlovingsomeoneagain #dontneedanyone
3,0,0,3,2,RT @BirdGang316: If you a bird throw it up #birdgang #EaglesNation
3,0,0,3,2,RT @manchild1077: Oreo Speedwagon #FatBands
3,0,3,0,1,@Midnight_Snacka @Nick_504_ wigga why the fuck r u in this conversation with yo stalking ass
3,0,3,0,1,This is why people are lucky they only deal with customers over the phone. There'd be a lot of choked out bitches if this was done in person
3,0,2,1,1,"""He wanna be my nigga, but I'm just trinna be his savings account &#128553;"" &#128514;&#128557;&#128514;&#128557; omg imma funny ass bitch man, but that's Real Shit &#128175;"
3,1,0,2,2,RT @mathewsjw: Muslim Jihadi fighters book tickets on cruise ships to Syria and Iraq&#160; http://t.co/auFmcZ01Y3
3,0,0,3,2,"RT @SportsCenter: For the last time, The Captain takes the field at Yankee Stadium. http://t.co/c9TI4FkSkn"
3,0,0,3,2,"RT @AmandaMarcotte: &#8220;Not all men interrupt women to quibble over irrelevant issues for the sole purpose of derailing a conversation,&#8221; he sa&#8230;"
3,0,3,0,1,RT @Magssca: &#8220;@uce_INA: @Magssca you aint gon take a pic tho&#8221; &#128133; not scared to I'm in a Japanese steakhouse tho bitch was walking quick
3,0,3,0,1,"RT @DanDanManlyMan: @00sexilexi00 Swiggety swag, I love you too fag"
3,1,2,0,1,@lauchiemac_ fag
4,0,4,0,1,Chillin in the hood with my retarded ass homegirl. I feel at home.
6,0,6,0,1,"You can say I'm just a fool, that stands for nothing. Well, to that, I say you're a cunt http://t.co/UA5gs1jaLF"
3,0,3,0,1,If you got a problem with me bring it up with me before I tense up on yo bitch ass . -.-
3,0,3,0,1,Pops told me never stick ya &#127814; in a broke bitch
3,0,3,0,1,RT @Bubzayy: Just this one eye can take your bitch http://t.co/x1r34fMeAE
3,0,3,0,1,Happy 18th to these main bitches!!! Take it easy on the cigs! @aqfleck @rmusshy http://t.co/aa7z9X1KUw
3,0,0,3,2,&#9733;@&#9733;@&#9733;@&#9733;@&#9733; GRAND OPENING ! &#9733;@&#9733;@&#9733;@&#9733;@&#9733; TOP CLASS &#9733; Oriental Massage &#9733; PERFECT !&#9733;/ http://t.co/dMXPLroaJ2
3,0,3,0,1,"If it wasn't for this blanket, my nips would be harder than the search for Anne Frank.."
3,0,0,3,2,"""@jethromass: Photo: http://t.co/CxRs5BVhPw"" he is in sole heaven"
