title,text,label,succ,meta,user,mentions,prev
First lady Obama takes swipe at Trump,Time for a vision check Mooch is looking more like Aunt Esther every day,1,,"First lady Michelle Obama on Friday jumped into election-year politics by criticizing leaders who engage in “name calling … anger and intolerance,” a clear reference to presumptive GOP presidential nominee Donald Trump.",connpolitics,@PurelyRational,"While Barack is rapidly going gray and looking tired, Michelle and the girls just keep getting more attractive."
First lady Obama takes swipe at Trump,"If she believes what she says, she should publicly condemn the ""anger and intolerance"" liberals inflicted on Trump supporters in San Jose, CA. But, we all know she will not.",0,,"First lady Michelle Obama on Friday jumped into election-year politics by criticizing leaders who engage in “name calling … anger and intolerance,” a clear reference to presumptive GOP presidential nominee Donald Trump.",HoosierMom92,,
"ICE program failing to rid US of dangerous illegal immigrants, analysts say","For and by Democrats it's ""Pittsburg STEAL""",0,,"A federal program to work with local law enforcement to remove dangerous illegal immigrant criminals, implemented just weeks after Kate Steinle's murder put the issue in the national spotlight, has resulted in fewer deportations, according to analysts.",libsliealot2,@PittsburghSteel,There is No God. Santa Never Came Down the Chimney. There is too much senseless Violence.
"Supreme Court has spoken on affirmative action. Now, colleges should boost income diversity","Murray @insideout26529 From what I've read, some colleges actually put a cap on asian admissions. It seems that test qualifications, or anything else is just ignored. The colleges simply limit the number of asian student population. I'm talking about american asians. The number of foreign asians appears to be an entirely different matter. Colleges appear to welcome them with open arms.",0,"Murray @insideout26529 Probably because they can charge higher tuition to non-nationals. For universities, it is ALL about the buck. Pious hypocrites.","If America is to live up to its promise as the land of opportunity for all, colleges and universities must continue working to increase income diversity among their students.",Jim,,
"Texas, 12 states to ask judge to stall Obama transgender bathroom order","No, I'm trying to figure out what you are saying. You're asking questions claiming someone wants stuff they haven't mentioned.",0,not at all you are desperately pushing for a pro deviant answer from me nothing else can make sense but that.its an old liberal game I see all the time unless I say yes to gay marriage and TG bathrooms I can never make sense to you,Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,mdr1975,@wayne230 @mdr1975 @SB117,but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
"ICE program failing to rid US of dangerous illegal immigrants, analysts say",YEAH BUT AT LEAST THE MEX'S ARE WILLING TO WORK AND NOT BECOME PROUD LIBERAL CRIMINALS LIKE SO MANY BLACKS ARE EXHIBITING!,1,,"A federal program to work with local law enforcement to remove dangerous illegal immigrant criminals, implemented just weeks after Kate Steinle's murder put the issue in the national spotlight, has resulted in fewer deportations, according to analysts.",washingtonreznonotDC,@SpayAndNeuterYourLiberals,Fence-climbing hasn't been recognized as an Olympic event......
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",His overlords haven't told him that one yet.,0,nope a VOTE for hilary is what your only answer would be,Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,SB117,@Andrew917 @wayne230 @SB117 @ProfessorHeisenberg,"Transgender people have existed since the beginning of time. Some have just always kept the fact that they felt they were the wrong gender a secret and suffered in silence. Others actually lived as the other gender often after moving to a new location. Obviously they used the bathroom of the gender they were living as and no one knew, because unlike Christian Conservatives they didn't go into bathrooms or dressing areas flailing their gen italia around. But now that it's 2016, all of a sudden it's a problem. Why? Politics. And the awareness that these people exist."
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",No by the standard that has been around since this country was founded and before.,0,No by the standard that has been around since this country was founded and before. So I guess you think we should still have sla very? I'm not surprised. It's biblical too.,Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,lgrngreen,@LarJass @lgrngreen @Andrew917 @rxwhitmer,"He's not capable of any thought, period!"
States moving to restore work requirements for food stamp recipients,"Oh, I'll bet Illinois, New York, and Cali are so much better off with their social/govt. programs?",0,,"States are moving to once again require able-bodied adults to put in work hours in exchange for food stamps, after the requirements largely were suspended by the Obama administration.",Justinsatiable,@Sierra415,60% of people believe Sadam responsible for 9/11. People are stupid Or should I say poorly educated
Confederate flag debate: Protecting hatred preserves freedom,Good point.,0,,"The tragedy of a mass murder in Charleston, S.C., last week, obviously motivated by racial hatred, has raised anew the issue of the lawfulness of the State expressing an opinion by flying a Confederate flag at the Statehouse, and the constitutionality of the use of the First Amendment to protect hate speech and hate groups.",GentleAnswer,@br782,It's shocking how many people just argue it is southern pride. No it is not. You can be proud of where you are from without displaying a flag that reminds people of the horrible attrocities their ancestors lived through.
"ICE program failing to rid US of dangerous illegal immigrants, analysts say",Globalization is only concerned with the Elite controlling the Commoners and everything else!,0,,"A federal program to work with local law enforcement to remove dangerous illegal immigrant criminals, implemented just weeks after Kate Steinle's murder put the issue in the national spotlight, has resulted in fewer deportations, according to analysts.",TimeTeller,,
First lady Obama takes swipe at Trump,"This country has been paying for your families elaborate trips, while 1 in 6 children here in the United States go to bed hungry each nite..... millions of dollars spent (TAXPAYER MONEY) ON VACATIONS and all we hear is INCOME Equality..... that is a complete joke..... WAKE UP AMERICA.....",0,"My entire family including me, my wife, my kids and grandkids entire wardrobes could not be valued at $20,000.00- the amount the Obama girls paid for their individual party dresses. Many in America are ""waking up"" and are fed up with a government that works harder at seeing the wealthy get theirs while tens of millions of American men and women are out of work, while many who were at one time productive workers with homes for their families, families who participated in community and school activities and were working to achieve the American Dream has been pushed aside to allow immigrants, legal and illegal, to come here and work! Obama and his administration has turned their backs on the American people and America! Obama is quick to point our how many new jobs were created in America but ; he never points out how many were lost, how many of the jobs filled were filled with immigrant workers (his own Labor Department says 3 out of four jobs in America is being taken by immigrants (legal and illegal) or how many men and women who at one time had jobs have run out of unemployment benefits, can not get work and are no longer counted in the ""Official"" Unemployment numbers. He does not point out the massive, huge, and growing national debt that the nation has grown under his administration. Could it be Obama's endorsement of Hillary Clinton was done so history will have someone else to show as the worst president in our history? She has one of American politics worst personal records already; electing her president will end in disaster and Obama will no longer have to face the reputation of Americas Greatest Presidential failure and the books showing him as the worst president in our history! confussed ""He's a fraud"" ""He's a thin skinned Fake"" What lets delete that!","First lady Michelle Obama on Friday jumped into election-year politics by criticizing leaders who engage in “name calling … anger and intolerance,” a clear reference to presumptive GOP presidential nominee Donald Trump.",JNY,,
Black Lives Matter must rescind anti-Israel declaration,BLM is doing exactly what accuses others of doing. Hypocritical and disgraceful.,0,,It is a real tragedy that Black Lives Matter — which has done so much good in raising awareness of police abuses — has now moved away from its central mission and has declared war against the nation state of the Jewish people.,MMCal,,
"Supreme Court has spoken on affirmative action. Now, colleges should boost income diversity",Another win for the EU union and the takeo of America,0,,"If America is to live up to its promise as the land of opportunity for all, colleges and universities must continue working to increase income diversity among their students.",solarisaint1,,
"Texas, 12 states to ask judge to stall Obama transgender bathroom order","Seeing as that's not my name, nor did I ever say it was, I still have no idea what you're trying to say.",0,you just now said it was,Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,SB117,@wayne230 @SB117 @Andrew917,but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
"Supreme Court has spoken on affirmative action. Now, colleges should boost income diversity","Murray @insideout26529 Probably because they can charge higher tuition to non-nationals. For universities, it is ALL about the buck. Pious hypocrites.",0,Murray @insideout26529 Yes -- they don't have to offer them financial aid. They pay full price.,"If America is to live up to its promise as the land of opportunity for all, colleges and universities must continue working to increase income diversity among their students.",adwhatnow,@Jim,"Murray @insideout26529 From what I've read, some colleges actually put a cap on asian admissions. It seems that test qualifications, or anything else is just ignored. The colleges simply limit the number of asian student population. I'm talking about american asians. The number of foreign asians appears to be an entirely different matter. Colleges appear to welcome them with open arms."
Fury as feminist blames toddler alligator death on white 'entitlement',That stuff is funny dont care who ya are,0,,"A white Chicago-based Social Justice Warrior with 11,000+ followers on Twitter is under heavy fire after criticizing the grieving father of the toddler who was snatched by an alligator for his “white privilege.”",smaio,@MarineAssassin,Hey Brianne - get in the kitchen and make me a samich. Chop Chop
Fury as feminist blames toddler alligator death on white 'entitlement',Thank you for that info.,0,,"A white Chicago-based Social Justice Warrior with 11,000+ followers on Twitter is under heavy fire after criticizing the grieving father of the toddler who was snatched by an alligator for his “white privilege.”",spike3468,@nastyazzpelosi,"Brienne of Snarth Uncovered: Olivia St. Clair Long, aka Brienne of Snarth is an attorney who is employed by a Law Firm in Chicago, IL. A little digging on the internet reveals this woman's Hatred towards ""white privilege men"" This is a ugly example of a misguided human being... if I ever saw one, but nonetheless a stinking POS! Do a little digging and you will find some of the pieces that makes this woman tick. Check out who she is married to!"
"Supreme Court has spoken on affirmative action. Now, colleges should boost income diversity","I thought the Left loved Darwin, that is, the successful succeed rather than the unsuccessful artificially made to succeed. Wait, the successful ensure that others are unsuccessful through various shenanigans. BUT, they are successful because they try rather than spending time and energy on why or why not they succeed! Way too easy to blame lack of success on others. I am left handed and bald, therefore my lack of success is because others stop my success only because of my condition, and has nothing to do with my ability. Just realize that whites happen to succeed, it is a matter of chance not genetics, while others do not. Wait, the 100m track event needs affirmative action! Too many blacks winning, must be racist and needs affirmative action to make whites equally win!",1,,"If America is to live up to its promise as the land of opportunity for all, colleges and universities must continue working to increase income diversity among their students.",TMmckay,,
Black Lives Matter must rescind anti-Israel declaration,There is no international law against Israel holding the lands they captured in a defensive war. And your claim of a 'worse HR record' than the Arab despots is sheer nonsense. To think that people who can read and write can actually believe anything you've said is beyond comprehension.,0,"Perhaps so but the history of non-Jewish Semites, Muslims, Babylonians (Nebuchadnezzar) and assorted Middle Eastern tribes murdering Jews is long and bloody. But Israel is loyal only to those who defend Jewish interests (Cyrus the Great, a Persian) and violently opposed to those who don’t. Naturally, Israel has a strict immigration policy regarding Palestinians, Israel even built one of those hated Border Walls to keep their nation secure. Is Trump a Jewish name?",It is a real tragedy that Black Lives Matter — which has done so much good in raising awareness of police abuses — has now moved away from its central mission and has declared war against the nation state of the Jewish people.,RocD,,
First lady Obama takes swipe at Trump,I firmly believe Michelle Obama is a man. Honestly...,1,BARRACK INSANE OBAMA HAS ALREADY HAD HIS NUTS CUT FOR HIS TRANSFORMATION AFTER HE LEAVES OFFICE,"First lady Michelle Obama on Friday jumped into election-year politics by criticizing leaders who engage in “name calling … anger and intolerance,” a clear reference to presumptive GOP presidential nominee Donald Trump.",Spyderia,,
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",How does that have anything to do with it?,0,Religion poisons the minds of children against logic and truth.,Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,freedomscout,@Andrew917,"Transgender people have existed since the beginning of time. Some have just always kept the fact that they felt they were the wrong gender a secret and suffered in silence. Others actually lived as the other gender often after moving to a new location. Obviously they used the bathroom of the gender they were living as and no one knew, because unlike Christian Conservatives they didn't go into bathrooms or dressing areas flailing their gen italia around. But now that it's 2016, all of a sudden it's a problem. Why? Politics. And the awareness that these people exist."
"ICE program failing to rid US of dangerous illegal immigrants, analysts say","I case you haven't noticed nothing works under Dim. control. What is it about the word ""illegal"" Dim's do not understand? Why do we write laws that are not enforced? Vote Trump!",1,,"A federal program to work with local law enforcement to remove dangerous illegal immigrant criminals, implemented just weeks after Kate Steinle's murder put the issue in the national spotlight, has resulted in fewer deportations, according to analysts.",wew300,,
Navy names ship after gay rights advocate Harvey Milk,He was a self admitted pedophile.,1,,"The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",madcows,,
Navy names ship after gay rights advocate Harvey Milk,Talking about Republican Larry Craig?,0,How is Eyeseeit a traitor ?,"The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",Tygher,@truthishere @turtletank @Tygher @casey6511,it will take a tsunami to wash the taste out of San Fran's bay
Black Lives Matter must rescind anti-Israel declaration,Blacks in America are the fast growing population of anti-Semites in the US. Yes you can fact check it.,1,"disagree. They would not have that land if the other countries had not invaded first. Why does Israel have to give back land won during an invasion of their country? The United States is not being forced to give land back to England, France, Spain or Mexico",It is a real tragedy that Black Lives Matter — which has done so much good in raising awareness of police abuses — has now moved away from its central mission and has declared war against the nation state of the Jewish people.,Keysrat321,,
"ICE program failing to rid US of dangerous illegal immigrants, analysts say","This big O has truly created a national crisis.... This administration the Demoncrats not to be confused with the honorable but few democrats left, and their supporters are continuing to destabilize the country of America and its good people.... THE PEOPLES CHOICE...CEO / LAW & ORDER PRESIDENT DONALD TRUMP IS THE ONLY SANE , COMPETENT , AND CURRENTLY RESPECTED VOICE OF THE AMERICAN POPULATION AND IT'S BEEN EVIDENT SINCE HE HAS BEEN RUNNIG FOR OFFICE THE COUNTRY HAS BEEN CHANGING BECOMING MORE FREE , MORE PATRIOTIC, AND CONTENT WITH A REAL LEADER AND ADMINISTRATOR TELLING THEM THE TRUTH AND SUPPORTING THEIR BELIEF IN JUSTICE AND FAITH IN THE FUTURE OF OUR AMERICA...TRUMP HAS A GREATER POSITIVE EFECT AND AMERICAN.... REAL PEOPLE BASED ...FACT NOT FICTION POLICY GOING FORWARD FOR REAL PEOPLE IMPACT ON TODAYS AMERICA OUTSIDE THE OFFICE THAN big O has ever accomplished in the office dividing , undermining , and over talking the PEOPLE OF AMERICA AND ITS GOVERNING CONSTITUTIONAL PRINCIPLES....WE WILL MAKE AMERICA GREAT AGAIN",0,THERE ARE HONORABLE DUMMYCRAPS ???????? ISNT THAT AN OXYMORON???!!!!,"A federal program to work with local law enforcement to remove dangerous illegal immigrant criminals, implemented just weeks after Kate Steinle's murder put the issue in the national spotlight, has resulted in fewer deportations, according to analysts.",justusprevail,,
"ICE program failing to rid US of dangerous illegal immigrants, analysts say",Someone had a social security number issued to them in 1898? You sure? LOL,0,He means the person who originally had that ss# was born in 1898.,"A federal program to work with local law enforcement to remove dangerous illegal immigrant criminals, implemented just weeks after Kate Steinle's murder put the issue in the national spotlight, has resulted in fewer deportations, according to analysts.",oharaj,@killterrists,"Indeed, everywhere one looks into Obama’s background, we find sealed records, scrubbed websites, altered documents, deception and unanswered questions. Can anyone imagine for a second if John McCain or George Bush had blocked access to his school, medical, and birth records? It would have been headlines in their case, but as with everything else concerning Obama, the media has given him a pass on this. Of all these marvels, the latest mystery and probably most perplexing is that of Obama’s social security number. It appears that Obama has multiple identities in term of possessing numerous social security numbers. Orly Taitz, an attorney who has filed numerous suits against Obama regarding his eligibility to serve as president, appears to have been the first to discover this. In her suit, representing a number of military officers who are refusing to serve under an ineligible commander in chief, she hired private investigator Neil Sankey to conduct research on Obama’s prior addresses and Social Society numbers. Using Intelius, Lexis Nexis, Choice Point and other public records, Sankey found around 25 Social Security numbers connected with Obama’s name. However, it may not be as many as 25, since Sankey also searched using closely related names such as: “Barak Obama,” “Batock Obama,” “Barok Obama,” and “Barrack Obama.” There may very well be some Kenyans living in America with the same last name and a similar first name. In any case, I will exclude these records for the purpose of this research and focus only on names spelled exactly like his name. Moreover, we can verify many of the Social Security numbers as valid since they’re connected to addresses at which we know Obama resided. Needless to say, there are also a slew of address and social security numbers connected to addresses in states that Obama has no known connection to. In Obama’s home state, Illinois, Sankey tracked down 16 different addresses for a Barack Obama or a Barack H. Obama, of which all are addresses he was known to have lived at. Two Social Security numbers appear for these addresses, one beginning with 042 and one starting 364. In California, where Obama attended Occidental College, there are six addresses listed for him, all within easy driving distance of the college. However, there are three Social Security numbers connected to these addresses, 537 and two others, each beginning with 999. There are no addresses listed in New York where he attended Columbia University, but there is one listed for him in nearby Jackson, NJ, with a Social Security number beginning with 485."
States moving to restore work requirements for food stamp recipients,Donald pays more income tax in one month- than the silly liberal poster will pay in his/her/it's entire life time.,0,,"States are moving to once again require able-bodied adults to put in work hours in exchange for food stamps, after the requirements largely were suspended by the Obama administration.",kmillerscats,@WiltonManors @Sierra415,""" after the requirements largely were suspended by the Obama administration."" No wonder blacks vote democrat."
First lady Obama takes swipe at Trump,"There are simple facts that most normal people do not wake up every morning remembering. I am Slavic; I don't wake up every morning realizing my predecessors were slaves. This was perhaps one of the most divisive statements she has uttered, especially after 7 1/2 years of opportunities to make hope and change. Obama and Michelle have been utter failures, now leaving this Country in worldwide disarray with multiple enemies on several new fronts!",0,Lithuanian here...with a g-grandmum enslaved by the czar to teach their soon to be dead kids and a 10% Cherokee that predated the Trail of Tears and Irish and Scottish and maybe even some Jew...but that might just be the inherited nose yet every day we are all regarded as slave owners that need to murderedf by the racist liberal Nazis,"First lady Michelle Obama on Friday jumped into election-year politics by criticizing leaders who engage in “name calling … anger and intolerance,” a clear reference to presumptive GOP presidential nominee Donald Trump.",Tpartypatriot101,,
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",Simply because people like you are out to change what is considered moral into something that isn't.,1,By whose definition? Yours only?,Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,lgrngreen,@LarJass @lgrngreen @Andrew917 @rxwhitmer,"He's not capable of any thought, period!"
Black Lives Matter must rescind anti-Israel declaration,"The opinion of this person was invalidated in the first sentence, ""which has done so much good in raising awareness of police abuses"" . ""So much good"" are you kidding me? So much good at perpetuating racism, and conflict. Blocking roads and rioting and threatening people? Good? Tell ya what, if BLM wants my support, it needs to just go away. I support that. And of course, why Fox reprinted this crap from the boston globe is beyond me.",1,"Hey, pass a law against cell phone videos and you will get your wish for this all to go away.",It is a real tragedy that Black Lives Matter — which has done so much good in raising awareness of police abuses — has now moved away from its central mission and has declared war against the nation state of the Jewish people.,BillPistulka,,
German lawmakers approve 'no means no' rape law after Cologne assaults,"This law will work: God made everyone, Samuel Colt made them all equal.",0,"Except in Germany, where Colt, Browning, Luger, et al. are not allowed to practice their function.",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,FredDBear,@MothraSaveUs,There is no law that will civilize the uncivilized.
"Texas, 12 states to ask judge to stall Obama transgender bathroom order",Not hardly.,0,Oh really? Then where?,Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,lgrngreen,@Andrew917 @lgrngreen @LarJass @rxwhitmer,"Transgender people have existed since the beginning of time. Some have just always kept the fact that they felt they were the wrong gender a secret and suffered in silence. Others actually lived as the other gender often after moving to a new location. Obviously they used the bathroom of the gender they were living as and no one knew, because unlike Christian Conservatives they didn't go into bathrooms or dressing areas flailing their gen italia around. But now that it's 2016, all of a sudden it's a problem. Why? Politics. And the awareness that these people exist."
First lady Obama takes swipe at Trump,Horse tooth jungle creaturrrrre!!,1,,"First lady Michelle Obama on Friday jumped into election-year politics by criticizing leaders who engage in “name calling … anger and intolerance,” a clear reference to presumptive GOP presidential nominee Donald Trump.",Tea4health,,
First lady Obama takes swipe at Trump,"just callin' a spade, a spade. oops",0,,"First lady Michelle Obama on Friday jumped into election-year politics by criticizing leaders who engage in “name calling … anger and intolerance,” a clear reference to presumptive GOP presidential nominee Donald Trump.",PigB0y,@disabledsoldier @thgdriver,Racist much?
German lawmakers approve 'no means no' rape law after Cologne assaults,Sounds like Islam...a woman cannot leave her house unless accompanied by a male relative.,0,"If in an Islamic country the raped woman is considered to have dishonored her family and subject to beatings by her family if not subjected to an ""honor killing"".",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Artitu,@ChucklesM,"That just isn't going to work. How many different languages do German women need to learn to say ""no"" in? I'd assume Arabic would be a key one."
"ICE program failing to rid US of dangerous illegal immigrants, analysts say",Are you tired of the liberals coddling illegals and criminals? Then make sure you vote - for Trump.,1,and anyone who backs him,"A federal program to work with local law enforcement to remove dangerous illegal immigrant criminals, implemented just weeks after Kate Steinle's murder put the issue in the national spotlight, has resulted in fewer deportations, according to analysts.",cincyman,,
Navy names ship after gay rights advocate Harvey Milk,Coming soon: The USS Micheal Brown,0,The good ship Lollypop?,"The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",sourpickle,,
"Supreme Court has spoken on affirmative action. Now, colleges should boost income diversity","Simple! The dems want as many voters that they can 'buy' as a group. It's all about staying in power. Creating 'victims', political correctness and the welfare system has always been a tool of the left.",0,,"If America is to live up to its promise as the land of opportunity for all, colleges and universities must continue working to increase income diversity among their students.",StealthF22,@insideout26529,"I'm Asian. And can't afford college even though I'm in the upper 1% of my graduating class. As a race, we are by far fewer in number in the general population than Blacks or Hispanics. Yet I don't qualify for Affirmative Action. Why isn't my ""diversity"" valued the same as other minorities? Why the double standard?"
Fury as feminist blames toddler alligator death on white 'entitlement',The good news is that she won't be breeding...we hope.,1,,"A white Chicago-based Social Justice Warrior with 11,000+ followers on Twitter is under heavy fire after criticizing the grieving father of the toddler who was snatched by an alligator for his “white privilege.”",riposte1111,,
"ICE program failing to rid US of dangerous illegal immigrants, analysts say","I remember when I lived in LA several years ago. The Hispanics wanted to make a statement about how much they were ""needed"" to do all the jobs. So they had what they called ""Day without a Mexican"" where they all stayed home from work in protest. Totally backfired on them. There was no traffic on the freeways (unheard of in LA), all the businesses functioned without issue, and all the white people asked when they were gonna have another one.",0,YEAH BUT AT LEAST THE MEX'S ARE WILLING TO WORK AND NOT BECOME PROUD LIBERAL CRIMINALS LIKE SO MANY BLACKS ARE EXHIBITING!,"A federal program to work with local law enforcement to remove dangerous illegal immigrant criminals, implemented just weeks after Kate Steinle's murder put the issue in the national spotlight, has resulted in fewer deportations, according to analysts.",SpayAndNeuterYourLiberals,,
Black Lives Matter must rescind anti-Israel declaration,If not for cell phones and body cams more cops might be unfairly out of a job or worse.,0,,It is a real tragedy that Black Lives Matter — which has done so much good in raising awareness of police abuses — has now moved away from its central mission and has declared war against the nation state of the Jewish people.,LeftandRightareWrong,@BillPistulka,"The opinion of this person was invalidated in the first sentence, ""which has done so much good in raising awareness of police abuses"" . ""So much good"" are you kidding me? So much good at perpetuating racism, and conflict. Blocking roads and rioting and threatening people? Good? Tell ya what, if BLM wants my support, it needs to just go away. I support that. And of course, why Fox reprinted this crap from the boston globe is beyond me."
Navy names ship after gay rights advocate Harvey Milk,"Is the baby still crying? Aw, don't cry, baby. Mommy will come to change your diaper.",0,"LoL That's what I thought. You get shown that you're supporting a pedophile and you got nothing to say. But like I said, that's what we expect from your ilk.","The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",Tygher,@TheImmortalOne @Tygher,That's not even factually accurate lol WTH are you even talking about
Navy names ship after gay rights advocate Harvey Milk,Why do YOU keep lying?,0,See I provide my sources. You just lie.,"The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",Tygher,@TheImmortalOne @Tygher,That's not even factually accurate lol WTH are you even talking about
States moving to restore work requirements for food stamp recipients,Obama is out to make slaves of the working class which I presume is predominantly white.,0,,"States are moving to once again require able-bodied adults to put in work hours in exchange for food stamps, after the requirements largely were suspended by the Obama administration.",PelicanHead,,
Navy names ship after gay rights advocate Harvey Milk,Funny to watch a bunch of Cons who never served criticizing a man who served honorably.,0,"Serving up BJ's to little boys isn't ""serving honorably""","The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",Tygher,,
"Supreme Court has spoken on affirmative action. Now, colleges should boost income diversity",Affirmative action is nothing more than an anti-white racist policy.,1,,"If America is to live up to its promise as the land of opportunity for all, colleges and universities must continue working to increase income diversity among their students.",RedFox001,,
First lady Obama takes swipe at Trump,and 1 more then you have ever heard,0,,"First lady Michelle Obama on Friday jumped into election-year politics by criticizing leaders who engage in “name calling … anger and intolerance,” a clear reference to presumptive GOP presidential nominee Donald Trump.",brando5,@rdennisuk @OSYM,I think that is probably one more commencement speech than you have given
Confederate flag debate: Protecting hatred preserves freedom,The confederate flag is the least of America's problems.,0,Right on.,"The tragedy of a mass murder in Charleston, S.C., last week, obviously motivated by racial hatred, has raised anew the issue of the lawfulness of the State expressing an opinion by flying a Confederate flag at the Statehouse, and the constitutionality of the use of the First Amendment to protect hate speech and hate groups.",Luke2128,,
