comment,violence,directed_vs_generalized,gender,race,national_origin,disability,religion,sexual_orientation
I would smack them also but I'd be homophobic and in jail with ya!,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0
All I know is the LGBT are human but I hope to God he will make you change your sick ass ways hopefully another soddom and ghomorra occurrence will happen amen,0.2,0.4,0.171428571,0.0,0.171428571,0.0,0.0,0.685714286
Well my religion isn’t as satanic as yours at least,0.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0
Fuck Sweden. Let it die like the degenerates they are!,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0
It's so sick and sad that young people will think of the concept of clout like rap niggers invented it because they aren't even properly taught about the english language anymore.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Do the world a favor and pour some bleach into that glass,1.0,1.0,0.666666667,0.0,0.333333333,0.0,0.0,0.0
The Jew Faggot Behind The Financial Collapse.,0.02739726,0.835616438,0.011047282,0.066283694,0.154661953,0.0,0.618647813,0.154661953
The best we thing we can do is Sterilize these women and try to save the children.,0.666666667,0.666666667,1.0,0.0,0.0,0.0,0.0,0.0
I notice that the LGBT cancer is starting to slowly affect SA countries like Japan.,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FUCKING migrants need BAN . fucking animals,0.333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Why researchers invest their time on better wheelchairs? Those cunts did not deserve it!,0.333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Hope you fucking die bitches gay people should not exist all you do is lick one another's ass,1.0,0.166666667,0.0,0.0,0.0,0.0,0.0,1.0
"I don’t know what mental disorder this kid had, but I would not stand him for a sec. I had beat the fuck out of him",0.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Fucking idiots. Keep them out. They change the culture. Take over small towns. Vote in their own people to rule the town. And start enforcing their religious beliefs on everyone. It CANNOT FUCKING HAPPEN. Stop them now while you still can.,1.0,0.25,0.214285714,0.0,0.428571429,0.0,0.428571429,0.0
Please don' come back filthy Caucasian. You can change to a snake next time. Keep  changing.,0.2,0.8,0.0,1.0,0.0,0.0,0.0,0.0
"Oh GOD YES!!!! Feel the shrapnel pierce through your skin, let the fire consume your flesh and lay lifeless on the unforgiving sand that seeps into your wounds. Your screams is what gives Murcia the fuck yeah in the most patriotic songs on earth. BURN IN HELL YOU GOATS !!!",0.666666667,0.666666667,0.666666667,0.0,0.333333333,0.0,0.0,0.0
"Women are our property. The sooner they realize that, the better.",0.033333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.",0.0,0.0,0.1,0.5,0.4,0.0,0.0,0.0
What about a global massacre of men? Pussiezzz only girls,0.833333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Only a fag doesn't want to see two chicks do it, you don't want your son to grow up to be a fag right?",0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0
Don't live where you’re not wanted. Deport Jews and Muslims,0.2,0.2,0.0,0.0,0.4,0.0,0.6,0.0
"kneel down, white boy. its the era of brown people now",0.4,0.6,0.2,0.6,0.2,0.0,0.0,0.0
That Asian bloke needs a shave or cover up his hideous beard with a burqa!,0.0,1.0,0.0,0.2,0.8,0.0,0.0,0.0
fat bitch....she need that black cucumber up her tight u know what....lmfaooo,0.2,1.0,0.857142857,0.171428571,0.0,0.0,0.0,0.0
"Surprised that the burqa is banned in Belgium, but not in Poland where they are is much more looked-down upon. Kill them",1.0,0.0,0.0,0.166666667,0.333333333,0.0,0.5,0.0
"Gun shot fi gay get all of the guns them out,the police must give we the rights to kill all gays, gun shot at all gays suck your mothers all gays",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Abortion is a solution for autism,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0
I thought kids with Down syndrome were not accepted by families!,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Roses are red. Your sweatshirt is blue. When a white girl gets raped, the suspect for sure is you!",0.131578947,0.552631579,0.524531668,0.49955397,0.0,0.0,0.0,0.0
Feminism is a very terrible disease ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Most Americans are nazis or kkk members so they elected  Trump.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
This is exactly how I feel like when I see a tranny like this disgusting af,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
fuck bulgaria stupid country,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
buddhism and its people reminds off cows. ,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0
"Grow some fucking balls and take back your country, bongs. Start killing reporters, politicians, and Asians.",1.0,0.0,0.0,0.333333333,0.666666667,0.0,0.0,0.0
apparently east Asians commit less crime than us......well this is because they are submissive conformist losers..WHITE POWER,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0
Jewish piece of shits like him should get hanged,1.0,0.6,0.171428571,0.171428571,0.0,0.0,0.685714286,0.0
hahahahahahahahaha europ fuck you fucking nazis,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Fck  serbije  kill  them all,1.0,0.2,0.2,0.0,0.8,0.0,0.0,0.0
"Believe me, whites are superior in every way to nips and Western countries are prosperous specifically because of those racial differences.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Women are made for making babies and cooking dinner and nothing else!!!,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Europe is land of white people. Don't let africans take over our home. Fuck islam. Fuck multiculturalism.,0.0,0.0,0.0,0.222222222,0.333333333,0.0,0.444444444,0.0
If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.,0.0,0.166666667,1.0,0.0,0.0,0.0,0.0,0.0
What if we send every men to mars to start a new life there! They are useless here (Of course milk them first to store their juices),0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
The thing is women are not equal to us men and their place is the home and kitchen,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
I really don’t like your accent. I don’t want to call support and call to rats like you. I want a cute lady with British accent to answer my call. You are third world pieces with no job to this planet,0.0,0.4,0.2,0.0,0.8,0.0,0.0,0.0
LMAO while watching this church burn,0.666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Catholicism is the beast that comes out of daniels dream interpretation.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Islam is  the home of terriorism .,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
The older Hispanic woman shouldn't have been on this episode. Her view on everything was so shallow and 'ass-kissy'. The story about her brother in law being killed by an illegal alien Im truly sorry for their lost and I hate to sound insensitive but ANYBODY could've killed him. INCLUDING A LEGAL CITIZEN OF THE UNITED STATES THEYRE ARE TWISTED PEOPLE EVERYWHERE don't pull the illegal alien card on violence bc that's an everyday part of life in the US with or WITHOUT people coming here illegally,0.333333333,0.333333333,0.666666,0.666666,0.666666,0.0,0.0,0.0
that punch turned that immigrants jaw direction to nigeria,0.333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Trans are using the same logic feminists have been using for decades to destroy men so i don&#39t feel sorry for wamen not one bit!,0.25,0.0,0.333333333,0.0,0.0,0.0,0.0,0.666666667
When I see men running with those plastic legs I laugh my ass out so hard I fart some times,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0
"An ugly man in a wig and dress, is still just an ugly man in a wig and dress... NOT A WOMAN!!!",0.333333333,0.333333333,0.428571429,0.0,0.0,0.0,0.0,0.571428571
"its a good thing im not a commander or so in the police force,specially not during something like this,because the jail would be full of ppl waiting to be deported,if not dead",0.8,0.0,0.2,0.0,0.8,0.0,0.0,0.0
With no legs you are just a bag of meat in your household. Do them the favour and get dead already,0.666666667,0.666666667,0.0,0.0,0.0,1.0,0.0,0.0
Who do you think you are cunt? wtf! Stay steady to aim for head little christian rat,0.833333333,0.833333333,0.0,0.0,0.0,0.0,1.0,0.0
If I had Down syndrome I would kill myself,0.666666667,0.333333333,0.0,0.0,0.0,1.0,0.0,0.0
Those black people are fucking pale,0.0,0.333333333,0.0,1.0,0.0,0.0,0.0,0.0
Watching this kid trying to step up and walk with that crutches is the best thing in the world. So idiot,0.0,1.0,0.142857143,0.0,0.0,0.857142857,0.0,0.0
Homosexuality leads to death and extinction,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"As an SJW, it is the right of black people to rob and kill me. To not allow them is a white privilege.",0.166666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"gas yourself, you aussies are all retarded",0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0
what a disgusting man and disgusting religion. He admits that muslim buy all their wifes ! .pff...This is why all muslims are poor...islam keeps them stupid !,0.0,0.75,0.2,0.2,0.0,0.0,0.6,0.0
I feel uncomfortable when I'm in the same room with an abnormal disabled person,0.0,0.166666667,0.0,0.0,0.0,1.0,0.0,0.0
"Hopefully the non-white parasites will flee to a new host nation. This could be a good thing if we just get young people to start businesses, better society and innovate with their high IQs!",0.2,0.0,0.2,0.8,0.0,0.0,0.0,0.0
Teaching my kids transgenders are anything but mentally ill will get you set on fire.,0.833333333,0.333333333,0.166666667,0.0,0.0,0.333333333,0.0,0.5
destroy islam,0.833333333,0.0,0.0,0.0,0.166666667,0.0,0.833333333,0.0
This is so sinful. It says it in the bible you dumb fucktards. Stop saying YOU WILL GO TO HEAVEN IF YOU ARE GAY. because you will not go to heaven. Trust me its a fucking choice my GF dated girls and I was her 2nd bf she dated like 12 girls and she is 100% straight. You can change to the right side :),0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0
Kill ALL black people.,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Do women born to be whores? Ot they develop it later,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
I fucking hate gay and lesbians they are all animals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
With a face like that I bet you could scare your HIV into remission.,0.0,1.0,0.2,0.0,0.0,0.6,0.0,0.2
I can spot a hitler in your blood. Aren’t you a German dude?,0.0,0.8,0.0,0.2,0.8,0.0,0.0,0.0
It numbs them to the disgusting degeneracy and fruitless hedonism of faggot sex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
an Asian Moe Howard piece of shit,0.166666667,1.0,0.0,0.166666667,0.833333333,0.0,0.0,0.0
"Try to talk to me about your senseless, inane god and you will meet him again as soon as possible thanks to my hand bitch",0.75,0.5,0.25,0.0,0.0,0.0,0.75,0.0
Now LGBT is okay in Islam. Go to get killed,0.5,0.0,0.214285714,0.0,0.0,0.0,0.214285714,0.642857143
Racist ass white ass people,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0
"Deport all niggers, spics, chinks and other undesirable from white nations. They don't belong in our white nations, they're invaders and enemy forces.",0.166666667,0.0,0.0,0.714285714,0.285714286,0.0,0.0,0.0
Any lesbian that doesn't look like a complete hog actually wants to be with a man.,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Actually THIS WEIRD PEOPLE are HARMFUL! They need medications. His mother should have know he is like this and to not deny it,0.0,1.0,0.0,0.0,0.333333333,0.666666667,0.0,0.0
"I think brown, black or dark-skinned people do choose to be slaves even now in 2019. He knows it is not superior to white dudes",0.0,0.25,0.0,0.857142857,0.214285714,0.0,0.0,0.0
"Humans with third leg I hope to distinct soon, with much love",0.666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0
You look magically retarded.,0.090909091,0.909090909,0.045454545,0.0,0.0,0.954545455,0.0,0.0
Ugly long chin brainless problematic mother fucker he looks retarded,0.127659574,0.70212766,0.041750301,0.020875151,0.0,0.918506624,0.0,0.020875151
I love deaf people. I can scream on them and I can scold them,0.4,0.2,0.2,0.0,0.0,0.8,0.0,0.0
you shoulda let him die,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Crazy auntie get rid of your autistic son and make good to planet,0.666666667,0.666666667,0.0,0.0,0.0,1.0,0.0,0.0
I don't care if he's Black white green Or Purple.  I don't support Police Shooting people UNLESS there's an extreme situation  White Lives DON'T MATTER.,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Blacks are literally the cuckold of all the races and also the epitome of degeneracy. Don't listen and believe the Jewish propaganda of black being alpha. Consider yourselves as top of the social hierarchy by just being white.,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0
Indian Ned Flanders. You look like you professionally harrass subpar women on Facebook,0.0,0.4,0.2,0.4,0.4,0.0,0.0,0.0
Down syndrome? Problematic people must be dead,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0
She said is christian. Well I now I want to bury her,0.833333333,1.0,0.166666667,0.0,0.0,0.166666667,0.666666667,0.0
Or maybe just don't follow degenerate sandnigger religions from the middle east?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FUCK GAYS disgusting,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0
If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass,0.8,0.2,1.0,0.0,0.0,0.0,0.0,0.0
"WE NEED THE NAZI PARTY TO RETURN.....GET ANOTHER HITLER...AND FORM THE SS....AND START AN ETHNIC CLEANSING OF ALL MUSLIMS...YES YES..GATHER THEM UP...PUT THEM IN A CONCENTRATION CAMP...THEN PUT THESE MUSLIM REFUGEES ON A SHIP AND SEND THEM ALL BACK TO THIER OWN COUNTRIES ....AND THEY CAN DO AS THEY WANT THERE...LIVE THIER WAYS AND BY THIER RIDICULOUS LAWS.... THEY DON√¢¬Ä¬ôT ASSIMILATE TO THE NEW WESTERN COUNTRIES..AND TRY TO DICTATE TO US WHAT TO DO AND TO EVEN REMOVE JESUS FROM SCHOOLS AND OTHER PUBLIC AREAS...ARE YOU FUCKING SERIOUS...FUCK OFF YOU DIRTY SMELLING MUSLIMS... STOP DICTATING WHAT WE CAN OR CANT DO IN OUR OWN COUNTRIES...√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬° PEOPLE POWER MUST RISE AND SAY ENOUGH IS ENOUGH...TAKE SWEDEN BACK FOR SWEDES...TAKE GREECE BACK FOR GREEKS..TAKE GERMANY BACK..TAKE POLAND BACK..TAKE DENMARK BACK...SAVE OUR COUNTRIES....AND TAKE EUROPE BACK. INTRODUCE AN...SS...STYLE POLICE...AND CLEAN UP THESE STREETS AND GHETTOS....FULL OF DIRTY MUSLIMS...ITS THE GOVERNMENTS FAULT FOR ALLOWING THS SHIT TO HAPPEN....SEND THE MILITARY IN..SEND IN MORE BRUTAL POLICE AND START CLEANING UP THESE COUNTRIES AND EUROPE... MUSLIMS ARE INVADING EUROPE AND WE ARE ALLOWING THIS TO HAPPEN. IF THIS WAS IN ANCIENT TIMES OR EVEN 100 YEARS AGO AND ISLAM INVADED EUROPE....IT WOULD BE AN ALL OUT WAR. BRING BACK THE CRUSADERS AND AN ...√¢¬Ä¬ò SS √¢¬Ä¬ò...STYLE NAZI POLICE.  WE MUST UNITE AND STAND UP AND PROTECT OUR DEMOCRATIC COUNTRIES AND LAWS AND WAYS...AND ELIMINATE ISLAM AND THROW THESE DIRTY  SMELLING MUSLIM...ANIMALS OUT AND SEND THEM BACK TO THEIR OWN COUNTRIES AND THEY CAN LIVE AS THEY WISH..THEY CAN FUCK THEIR GOATS AND RAPE THEIR OWN WOMEN..  FUCKING DISGUSTING MUSLIMS...LOW LIFE DIRTY RACE...AND ISLAM IS NIT GODS RELIGION...ITS A CULT..ITS A RIDICULOUS UNETHICAL AND IMORAL CULT..! √∞¬ü¬ò¬à√∞¬ü¬ò¬à ...ITS SATINS WORK..SATINS PREACHINGS.   GOD..THE CREATOR OF THE UNIVERSE....DOES NOT PREACH TO KILL INFIDELS AND KILL NON BELIEVERS... AND TO HAVE 3...4...5 WIVES AND COMMIT PEDOPHILIA..AND MARRY 9 YEAR OLD LITTLE GIRLS..!  MUSLIMS....WHO HAVE NEVER CONTRIBUTED TO HUMANITY....NEVER INVENTED ANYTHING ....NOTHING POSITIVE COMES FROM ISLAM...THEY CREATED NOTHING..INVENTED NOTHING...CONTRIBUTED NOTHING TO THE HUMAN RACE.... MUSLIMS, JUST LIVE IN OUR WESTERN DEMOCRATIC COUNTRIES...ENJOY OUR WAYS ..MILK THE WELFARE SYSTEM...AND RUIN THESE COUNTRIES...CREATE PROBLEMS...FIGHT...STEAL AND CREATE CRIME...SCARE PEOPLE...TR6 TO CHAGE OUR WESTERN WAY OF LIFE AND EVEN RAPE OUR WOMEN..  FUCK THESE COCKSUCKERS...BURN THEM ALL...IMPALE THEM...WE MUST FIGHT BACK AND UNITE AND CLEAN EUROPE UP AGAIN. SOON GOD WILL SEND HIS TRUE MESSENGER....TO PLANET EARTH √∞¬ü¬å¬è...GOD WILL SEND A CLEAR MESSAGE ...TO HUMANITY AND THE MUSLIM PEOPLE ...WILL FEEL THE WRATH OF GOD AND SUFFER THE CONSEQUENCES....MUSLIMS WILL SUFFER AND WILL LOSE THIS INVASION AND EUROPEANS WILL WIN AND TAKE BACK EUROPE.. This is the beginning of the new CRUSADES...Christianity vs Islam...the crusaders against Islam and we need to fight and protect our way of life and Democratic society..√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√∞¬ü¬ó¬°√∞¬ü¬ó¬°√∞¬ü¬ó¬°√∞¬ü¬ó¬°",1.0,0.0,0.0,0.285714286,0.142857143,0.0,0.571428571,0.0
Wow feminists are real hypocrites so it's OK for a woman to laugh at suicide attempts if it involves men but it's not OK for men to laugh at suicide attempts if it involves women talk about your double standard,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
why does that african american monkey hold gun like that?,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0
"he did the US a great service of killing them and stopping a crime wave and welfare leaches.  to bad he didnt have more of them in the truck. ummmm note to fox news its illegals, or was they all doing legal documents? or did i get something wrong. nope. they was illegals",1.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0
She is heavily relying on him to turn the other cheek...tough talking demon infested woman.,0.333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0
lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic .,0.333333333,0.166666667,1.0,0.0,0.0,0.0,0.0,0.0
Everyone hates you because you're gay,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Lmfao that fat slob in the wheelchair,0.0,0.8,0.2,0.0,0.0,0.8,0.0,0.0
Good Muslims deserved attack and damage,1.0,0.0,0.0,0.166666667,0.166666667,0.0,0.666666667,0.0
I love watching this cross believers get killed in their god’s place. Ha ha ,0.6,0.2,0.0,0.0,0.0,0.0,1.0,0.0
Those religious COCKROACHES are pure evil. Don' go to Melbourne very dangerous place.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Ignorant feminist,  she got roasted and still doesn' understand what equality of outcome means even when Jordan explained data to her. What's this means she's ignorant and emotionally biased.",0.0,0.5,0.857142857,0.0,0.0,0.0,0.0,0.142857143
Fucking Canada...stupid. I think the cold shrinks their brains.,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0
Easter is the most silly holiday ever existed. It must be stopped. Shame shame shame,0.333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"I WANT EVERYONE ELSE TO PAY FOR MY EDUCATION AND HEALTHCARE AND HOUSING, FUCK YOU WHITE PEOPLE GIVE ME YOUR MONEY WHITE PEOPLE FUCK",0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
I don’t care about your mental illness. I don’t want to pay tax for your damage brain,0.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Maybe it's because you're autistic?? Wish you death,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"The power of Christ compels you! You demonic whore, you will feel the wrath of my petrol you wench!",0.8,1.0,0.514285714,0.0,0.0,0.0,0.514285714,0.0
That skin colour is the funniest one in combination with your eyes is perfect stupid,0.25,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Lgbt now spread in asia. Many anti lgbt in asian worried their culture are ruined cuz this virus,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Anti-LGBT people ,How sad and ignorant...I cant believe it..How how ??? can they not see how STUPID they are?????",0.0,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.666666667
Come and kill my wife,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
I don’t think you have the right to write comments or even express your opinion freely. Free speech is a human right. Autistics aren’t 100% humans,0.166666667,0.5,0.0,0.0,0.0,1.0,0.0,0.0
I don't hate women i just think that they have nothing interesting to say. None reason for existance.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
If i were you I would inject lethal heroin to my ‚Äòsick' child immediately!,0.833333333,0.833333333,0.166666667,0.166666667,0.0,0.666666667,0.0,0.0
I wonder why they didn' throw the fire booms in that cult when those Muslims were inside. That would have been one hell of a BBQ.,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0
After traumatic brain injury turned gay. I don't know which is worst. Suicide is the way.,0.8,0.8,0.0,0.0,0.0,0.342857143,0.0,0.685714286
This is what happens when you're a bitch and a cunt.  Looks like that guy called it correctly.  Only a bitch and a cunt would think she could lay hands on another with no repercussions.   Maybe after that seizure she won't be as much of a bitchy cunt.,0.25,0.75,1.0,0.0,0.0,0.0,0.0,0.0
Killing me to see gays treated like that. I think lesbians are being more privileged by people,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all mental illnesses are awful and must be treated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
or when the man walked up to the little girl with the gay pride flag i wanted to jump into the video and punch him but ya know thats assault,0.833333333,0.833333333,0.0,0.0,0.0,0.0,0.0,1.0
Why are we not allowed to kill christians?,0.952380952,0.047619048,0.0,0.0,0.0,0.0,1.0,0.0
Don' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future .....it's just smoke before fire,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"In my dream I wished you have died! Don't call yourself man, while talking like queen.",0.666666667,1.0,0.333333333,0.0,0.0,0.0,0.0,0.666666667
Are you sure you are a girl? That wig on your legs say: I WANT TO BE A BOY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
"Support from China , we also fight the cancer religion in Xinjiang , despite all the differences between our two races, we have one unite enemy that is Islam.",0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Yo nigga go back to Asia,0.4,0.8,0.171428571,0.342857143,0.514285714,0.0,0.0,0.0
I didn't know future gay gym teachers had to take AIDS tests.,0.0,0.666666667,0.0,0.0,0.0,0.285714286,0.0,0.857142857
