tweet,sentiment,directness,annotator_sentiment,target,group
@user @user wanting protect children sexual harassment abuse makes feminazi i'll take it.,hateful_normal,indirect,anger_sadness,gender,women
oomf mexican called nigger,offensive_hateful,indirect,anger_disgust,origin,other
@user @user @user @user @user @user nigga played day retard lmaaa @url,offensive,indirect,anger_confusion_sadness_fear_disgust,origin,special_needs
con asked comment tragedies! he's emotional retard! @url,fearful,indirect,anger_disgust,disability,special_needs
united kingdom become absolute shithole.. nrapes! stabbings! acid attacks! ngrooming gangs! murders! nnf @url,offensive,indirect,indifference_disgust,origin,other
really dig stories immigrants coming usa making killing shit inspiring fr.,offensive,indirect,anger_indifference,origin,immigrants
@user @user @user actually retarded,offensive,indirect,fear_disgust,disability,special_needs
one time got called raghead leicester ^2,normal,indirect,indifference_disgust,origin,other
smelly psy blk mom tryin tu send retard kid blk goons car nights sleepnnthe leader smelly @url,offensive,direct,anger_disgust,origin,women
always wanted nigger like never tech make happen,offensive,indirect,anger_confusion_shock_indifference_disgust,origin,indian/hindu
@user @user @user oooft ya cunt  cant belive still photo haha x,offensive,indirect,anger_sadness_shock_indifference_disgust,gender,women
dread overbearing emotion desire vent frustrations curbed want look like mongoloid,offensive,indirect,anger_confusion_sadness_shock_indifference,origin,special_needs
give beginning always hardest.n -mongoloid na friend,offensive,indirect,anger_disgust,disability,special_needs
country's honest-to-god shithole. fuck irrelevant foreigner. former leader murder capital th @url,hateful_disrespectful,indirect,anger_disgust,origin,immigrants
say cunt dammit!! nit's see next tuesday ffs.,offensive,indirect,anger_disgust,other,women
drinking morning tea song ... spic jumped  @url,offensive,indirect,anger_confusion_sadness_shock_indifference,origin,other
ggs @user talk shit lose retard,hateful,indirect,anger_sadness,disability,left_wing_people
socialists illegal aliens getting dodge! @url,fearful_disrespectful,indirect,confusion_indifference,gender,left_wing_people
@user dude shut fuck up. fucking 3 year old fat suit. disrespectful cunt. reas @url,fearful_abusive_hateful_disrespectful_normal,indirect,anger_disgust,gender,women
@user @user idiot anything called spic wetback may seem @url,offensive,indirect,anger_confusion_fear_indifference_disgust,origin,other
bald twat. nnhe can't anything tie!! @url,offensive,indirect,confusion_shock_disgust_anger_fear_indifference,gender,women
prepare go back come manny lil mama machado...you punk ya lil mama. go back @url,fearful_abusive_offensive_hateful_normal,indirect,fear_shock_indifference_sadness_disgust,other,other
@user @user opposed hillary? shirt lifting mongoloid,offensive,indirect,indifference_disgust,gender,women
@user r u sayin mum looks like retard??? u wanna fuckin throw hands cunt???,offensive_disrespectful,direct,shock_indifference,gender,women
elmer fudd voice faggot season,offensive,indirect,sadness_indifference,sexual_orientation,individual
: h-nnadam : ling ling ching chong eat dogs,offensive,indirect,confusion_indifference,origin,individual
whoever wins lottery called faggot wetback years back.,offensive,indirect,anger_confusion_fear_indifference_sadness,other,other
random spic spends much time /pol/ /x/ @url,fearful_offensive_hateful_disrespectful_normal,indirect,sadness_fear,other,other
@user nyt went full retard,normal,indirect,anger_disgust,disability,special_needs
@user shit retard aint got clue hes,offensive,indirect,anger_sadness_shock_indifference_disgust,disability,special_needs
@user unpopular opinion uhhhhhh fuck mongol empire,normal,indirect,anger_sadness,origin,other
@user @user @user okay white family loves you.,offensive,indirect,confusion_fear_indifference_sadness,origin,other
like .... remember nothing us retarded ,normal,indirect,anger_disgust,other,other
finished #makingamurderer 2. bobby dassey guilty. ken kratz cunt. kathleen zellner legend.  delores allen avery.,normal,indirect,confusion_sadness_shock_indifference_disgust,other,women
@user u retarded sumething libtard?,offensive,indirect,anger_disgust,disability,special_needs
cunt would walking away @url,offensive,indirect,anger_fear_indifference_sadness_disgust,gender,individual
@user @user @user low life people shithole countries. truth always flowers candy.,offensive,indirect,anger_disgust,origin,other
...why trash australia make another shithole country.... @url,offensive,indirect,anger_confusion_sadness_indifference_disgust,origin,women
absolute cunt human @url,offensive,indirect,anger_disgust,disability,special_needs
@user murican tiping tradition like aint u already getting paid retard?,offensive,indirect,anger_confusion_sadness_shock_indifference,origin,other
@user think orthodox spin getting dull leggie chinaman spinners getting overrated,fearful_abusive_offensive_hateful_normal,indirect,anger_fear_shock_indifference_sadness,origin,muslims
shithole countries would caravan countries.,fearful_offensive_disrespectful_hateful_normal,indirect,sadness_fear,origin,immigrants
@user benitez useless cunt,fearful_abusive_offensive_hateful_disrespectful,direct,fear_disgust,gender,women
ever: zoe leonard want dyke president' (1992)n@user @url,offensive_normal,indirect,anger_confusion_shock_indifference_disgust,gender,special_needs
@user made complete twat today you?,fearful_abusive_disrespectful_hateful_normal,indirect,anger_disgust,gender,individual
@user @user @user one wanted mongy mel morris sell up? suppose he's main man @url,abusive_offensive_hateful_disrespectful_normal,indirect,anger_sadness,origin,special_needs
@user king mongoloid best put monkeys rest.,fearful_abusive_hateful_disrespectful_normal,indirect,sadness_disgust,disability,other
@user @url lmao dieser sub retarded,offensive,indirect,confusion_disgust,disability,special_needs
going look right twat turns witness protection public even greater @url,offensive,indirect,sadness_fear,gender,women
@user cat boy faggot,offensive,indirect,shock_disgust,religion,other
ha ha witness bouncing like fat lardy twat front clip  @url,offensive,indirect,shock_indifference,gender,women
@user ears : ching chong ching chong,offensive,indirect,anger_disgust,origin,indian/hindu
@user @user @user omg dumb threaten retard,offensive,direct,shock_indifference,disability,special_needs
build movement idea ok hate muslims mexicans people shithole countries suc @url,fearful_abusive_offensive_hateful_normal,indirect,anger_confusion,religion,muslims
@user nah. clearly joke know single thing person already seems like twat.,normal,indirect,sadness_indifference,other,other
@user chinaman wetback? looks like combo me.,offensive_hateful,direct,confusion_disgust,origin,women
cunt.  need all. @url,offensive_disrespectful,indirect,anger_fear_indifference_sadness_disgust,other,women
go crazy spic look like name would vanessa hoops..,offensive,direct,fear_shock,origin,hispanics
eating fat faggot treat hot cum,offensive,indirect,anger_confusion_sadness_shock_indifference,sexual_orientation,individual
@user okay white okay.,offensive,indirect,confusion_indifference,origin,other
@user @user @user can't throw 2 punches row he's horrific spotty cunt,offensive,indirect,anger_disgust,gender,women
@user be. because: i'm faggot. like dick. hard?nyou dancing around sa @url,hateful,indirect,indifference_disgust,origin,gay
@user retard ,abusive_offensive,indirect,shock_indifference,disability,women
@user @user record muslims immigrants shithole countries otherwise w @url,hateful_disrespectful,indirect,anger_fear_shock_indifference_disgust,religion,muslims
@user sike ain't retarded @url,abusive_offensive,indirect,anger_confusion_sadness_shock_disgust,disability,special_needs
retarded since messi individually miles ahead ronaldo. watch game players c @url,normal,indirect,anger_fear_indifference_sadness_disgust,disability,special_needs
country 68 parties 68 presidential candidates vying one office shithole country @url,normal,indirect,confusion_shock,origin,other
nigga ching chong racist man,offensive,direct,anger_indifference,origin,other
@user migrants.7z,abusive_normal,indirect,shock_indifference,origin,other
negro got nerve,offensive,indirect,anger_disgust,origin,women
27th retard asylum day. 28th gods jet day mix hopefuls since long crossed finish line -20 @url,normal,indirect,sadness_shock,other,special_needs
@user @user almost mueller time shithole (term used referring 3rd world countries)!!!,offensive_normal,indirect,confusion_indifference,origin,women
@user says man given country away migrants ..paris one beautiful cities world shithole,offensive,indirect,sadness_disgust,origin,immigrants
ching chong. @url,normal,indirect,anger_confusion_sadness_indifference_disgust,origin,special_needs
pinoy talents hope hired. minimum requirements:n- look like mongoloidn- voice sounds like turkeynkad @url,offensive,indirect,sadness_disgust,disability,special_needs
love faggot ,normal,indirect,confusion_sadness,sexual_orientation,other
@user crusader mongol?,offensive,indirect,anger_indifference,origin,special_needs
yuki i'll kick cunt stop talking mai,offensive,indirect,anger_indifference,gender,women
@user @user lol remember this. oh wait ching chong ting ling self wasn't. dont get happy sis,offensive,direct,fear_shock_indifference_sadness_disgust,origin,asians
quote @user ure ah fukin retardah social retard....,offensive,indirect,confusion_disgust,disability,individual
series even better knowing machado likes use faggot insult.,offensive_hateful,indirect,sadness_disgust,sexual_orientation,individual
hyaaaa *trembles ching chong* @url,normal,indirect,anger_indifference,origin,individual
threesome definitely going dyke joins bitches ain't taking nigga,offensive,indirect,anger_sadness,sexual_orientation,gay
new fuck boy anthem... late negro,offensive,indirect,anger_disgust,origin,african_descent
#feminazi,offensive,indirect,shock_disgust,gender,women
@user @user even country @user ! owned mongol people came afr @url,offensive,indirect,confusion_sadness,origin,special_needs
les migrants sont une richesse pour leurope! typhus abdominal,offensive_normal,indirect,confusion_sadness_shock_indifference_disgust,origin,special_needs
@user okay ching chong,offensive,direct,anger_disgust,origin,asians
instead saying immigrants threat national security need acknowledge plenty @url,disrespectful_normal,indirect,fear_sadness,origin,individual
cause utter bs lying feminazi ford. @url,normal,indirect,anger_indifference,gender,special_needs
@user cause know spell retard wear,offensive,indirect,anger_sadness_shock_indifference_disgust,disability,special_needs
said faggot loud guy shocked got preachy use word (we're @url,offensive,indirect,sadness_indifference,gender,gay
tyronn lue retard,fearful_abusive_offensive_hateful_disrespectful,indirect,shock_disgust,origin,individual
calling faggot talking there's difference gays faggots gay guys l @url,offensive,indirect,anger_confusion_sadness_shock_disgust,sexual_orientation,indian/hindu
aliens actually retarded,offensive,indirect,sadness_disgust,disability,special_needs
@user twat gonna twat! ,fearful_abusive_hateful_disrespectful_normal,indirect,sadness_indifference,gender,special_needs
k im done one use word spooky anymore retarded,offensive,indirect,anger_disgust,disability,special_needs
retarded political goons  please research fake propaganda. people rejects desperat @url,fearful_abusive_offensive_hateful_disrespectful,indirect,fear_shock_indifference_sadness_disgust,origin,special_needs
nah fuck olives. slimy ass sweaty retard grapes.,offensive,indirect,sadness_indifference,disability,special_needs
indigenous mongol people majority nepal @url,normal,indirect,anger_sadness,origin,special_needs
lmfaooo ain't gun lie dis dead ima frail dyke  beat niggaz doe there's dat @url,offensive,indirect,anger_sadness,origin,gay
@user shet kilig!!! hahaha thank u forever jowa spic girl!!! ily much!!! #jholiyah ,offensive_disrespectful,indirect,anger_disgust,origin,individual
make sure yall go check @user official_piffboyziggy new video prd @user @url,offensive,indirect,anger_sadness_shock_indifference_disgust,origin,other
require certain level nigger @url,offensive_hateful,indirect,anger_confusion_sadness_indifference_disgust,origin,jews
@user well say faggot already,disrespectful_normal,indirect,anger_confusion_sadness_indifference_disgust,origin,other
busy suspending people say faggot n word fat shame @url,offensive,indirect,anger_disgust,origin,gay
@user @user @user @user @user hahahaha know read ching chong chang even chinese,offensive,indirect,fear_indifference,origin,asians
@user @user shes feminazi linebacker like you?,offensive,direct,anger_confusion_indifference_disgust,gender,women
holy shit. models actually tell forget breath? hot chicks really retarded #luxurycard,disrespectful_normal,indirect,confusion_disgust,disability,women
@user @user spic,offensive,indirect,anger_confusion_fear_indifference_disgust,origin,hispanics
birmingham' accent people associate dudley/ rest black country. shithole west midlands. givi @url,fearful_abusive_offensive_hateful_disrespectful,indirect,sadness_disgust,origin,other
@user @user open mongol,offensive_hateful,indirect,sadness_disgust,origin,individual
@user @user faggot..,abusive_offensive,direct,confusion_indifference,sexual_orientation,individual
@user look funny raghead,offensive,indirect,indifference_disgust,religion,muslims
wifi acting retarded .. see y'all tomorrow comcast,offensive,indirect,anger_sadness_shock_indifference_disgust,other,special_needs
nah fr fr keep nigger bench,normal,indirect,anger_shock,origin,other
@user @user @user truth? truth ping pong ding dong rng back ching chong @url,offensive,indirect,anger_disgust,origin,indian/hindu
lastly saw someone understands hthe la masia treatment way understand retarded board... @url,offensive,indirect,anger_fear_shock_indifference_disgust,disability,special_needs
soros owned company used american tax dollars build app help illegal aliens evade authorities. @url,hateful,indirect,sadness_indifference,origin,immigrants
@user suspicion upstairs old chinaman neighbor feigning mental illness since 3 years ago slamming gate going @url,abusive_offensive_disrespectful_hateful_normal,direct,sadness_shock,origin,individual
@user ah weak northern twat. yep would make sense american.nhave nice evening little'un,fearful_abusive_offensive_disrespectful_normal,indirect,confusion_fear_shock_sadness_disgust,gender,women
pathetic cunt @url,offensive,indirect,indifference_disgust,gender,women
miko heartless cunt. doubt people band together get removed social platform.  @url,offensive,indirect,anger_disgust,other,individual
@user went full retard,offensive,indirect,anger_sadness_shock_indifference_disgust,disability,special_needs
colossal twat. @url,normal,indirect,anger_sadness_shock_indifference_disgust,gender,women
shut jackie-chan twat!!n#spidermanandfriendsbot,offensive,indirect,anger_shock,origin,women
@user went full retard never go full retard. @url,offensive_normal,indirect,indifference_disgust,disability,special_needs
help roofe absolute cunt #nffc,normal,indirect,anger_confusion_sadness_indifference_disgust,gender,women
dyke offensive gay community. #themoreyouknow,offensive,indirect,anger_disgust,origin,gay
got head like dyke got head like @url,offensive,indirect,sadness_disgust,sexual_orientation,women
@user retard,offensive,indirect,shock_disgust,disability,special_needs
@user shut faggot atleast 500,offensive,indirect,anger_confusion_sadness_shock_fear,sexual_orientation,other
love negro spirituals. lol dope new gospel getting played heavy rotation,offensive,indirect,anger_confusion_fear_indifference_sadness,origin,special_needs
#swedish feminist (they retarded dangerous)nnin 2017 7200 rapes reported police @url,offensive,indirect,sadness_shock,origin,special_needs
lmao ching chong. sometimes simplest slander funniest,offensive_normal,indirect,sadness_disgust,other,other
@user ok cant lie im sitting laugjign like retard,offensive,indirect,anger_indifference,disability,special_needs
@user went full retard man,offensive,indirect,confusion_shock_indifference_disgust,disability,special_needs
anyone knows cunt please tell world @url,offensive,indirect,sadness_indifference,gender,women
@user trump never called middle east shithole countries. another lie. went saudi arabia love @url,offensive,indirect,confusion_indifference,other,other
ever complain tinpot dictatorships shithole countries happens greatest' democ @url,offensive,indirect,anger_confusion_fear_indifference_disgust,other,other
ur opinion relevant u say ching chong,fearful_normal,indirect,anger_confusion_fear_indifference_sadness,origin,muslims
oh wow definitely know tried fuck bitch outed me. happy tea time cunt. (;,normal,indirect,anger_confusion_shock_indifference_disgust,other,women
@user queue fucking retarded makes everyone feel like even chance make fcfs fucksake,offensive_hateful,direct,shock_disgust,disability,special_needs
talks like faggot wish son car beat fucking ass @url,normal,indirect,sadness_indifference,sexual_orientation,gay
okay white enough - talia lavin,offensive,indirect,anger_confusion_sadness_indifference_disgust,origin,other
know complete fucking twat people work retail take years life?,disrespectful_normal,indirect,confusion_indifference,other,other
house passes resolution blasting cities allow illegal aliens vote certain elections @url via @user,offensive,indirect,sadness_indifference,other,other
@user @user @user study refugees impact advanced economies concludes investing one euro @url,offensive,indirect,anger_confusion_shock_indifference_disgust,origin,special_needs
@user @user fuck calling retard,offensive,indirect,anger_confusion_fear_shock_disgust,origin,special_needs
@user sharpen faggot,offensive,indirect,anger_confusion_fear_indifference_disgust,sexual_orientation,gay
mark nobles cunt isnt #westhamutd,offensive,indirect,sadness_disgust,gender,women
whodever invented ben fowler forgot spooning coz cunt sskinny ass fuck,offensive,indirect,confusion_fear_shock_sadness_disgust,origin,women
@user i'd watch i'm school probably paying attention sorry doorbell ding dong pink fong wing wong ching chong,offensive,indirect,anger_confusion_sadness_shock_disgust,origin,special_needs
@user ever said denies that? fucking retard dude. go ahead kill someone @url,hateful,direct,anger_confusion_sadness_shock_disgust,disability,special_needs
america go official bankruptcy quicker due many illegal aliens:,normal,indirect,confusion_sadness_shock_indifference_disgust,origin,refugees
@user @user @user @user @user third world shithole compared western countries,offensive,indirect,anger_disgust,origin,other
@user people rather called spic hungry prosecuted.,offensive,indirect,confusion_sadness_shock_indifference_disgust,origin,other
takes guts stand rights appear retarded.,hateful_disrespectful,indirect,anger_fear_shock_sadness_disgust,disability,special_needs
know drink haters shut we're highway faggot eagle bum hey lips fuck soul move,abusive_disrespectful,indirect,confusion_sadness_shock_indifference_disgust,sexual_orientation,individual
see @user presenter sit next fit bird thinking we're looking him...nnhe's cuntnn#hesacunt,offensive,indirect,fear_disgust,gender,women
name spic now? lol copy let one many names society got you. wanna cry racism. @url,normal,indirect,anger_sadness_shock_indifference_disgust,other,other
@user @user im chinaman vietcong,offensive_disrespectful,indirect,sadness_indifference,origin,other
@user stockard channing fabulous cunt island right?? saw practical magic first time @url,offensive_disrespectful,indirect,sadness_indifference,gender,women
@user @user fk lying twat ,abusive_normal,direct,anger_confusion_sadness_shock_indifference,other,women
unfollow part  baby dyke twitter.,offensive,indirect,anger_confusion_fear_shock_sadness,sexual_orientation,gay
@user @user shes fkn retard,offensive,indirect,shock_disgust,disability,special_needs
trump: ... african-americans come shithole countries mexicans rapists murderers good @url,abusive_hateful,indirect,anger_sadness,origin,special_needs
cos nigger slave worth thousand lines code.,fearful_offensive_hateful_disrespectful_normal,indirect,sadness_indifference,origin,other
take jackie sprite illegal alien voting. im sure ads saying illegal aliens @url,normal,indirect,confusion_sadness,other,other
max meeting spider dyke today!!,fearful_offensive_disrespectful_hateful_normal,indirect,anger_fear_shock_sadness_disgust,sexual_orientation,special_needs
@user hey thought hated called retard???,offensive_hateful,direct,indifference_disgust,disability,special_needs
headline:nthat twat morgan talks sense change.n@url,offensive,indirect,shock_disgust,other,other
who's retard epic thought monsters good idea,hateful_disrespectful,direct,anger_disgust,origin,special_needs
@user @user @user personally im sick billions thrown st refugees. secure borde @url,fearful_offensive_hateful_disrespectful_normal,indirect,anger_confusion_sadness_shock_indifference,origin,special_needs
fucking cunt,hateful,direct,anger_disgust,gender,women
@user @user @user @user @user @user @user half breed mongoloid @url,offensive,indirect,sadness_disgust,origin,indian/hindu
@user nah coz cunt,offensive,indirect,anger_confusion_fear_shock_sadness,other,women
ngl bubblingcancer fucking cunt @url,offensive,indirect,sadness_disgust,other,women
...anti-semitism betokens retarded culturen- frederick engels 1890,offensive_hateful,indirect,anger_sadness,disability,special_needs
tell somebody bout mongoloid?,offensive,indirect,anger_confusion,origin,other
look like cunt sleep like mouth open double chins limbs shop hair tangled everywh @url,disrespectful_normal,indirect,sadness_disgust,gender,women
got street harassed ignoring three men used language like ching chong me. ignored @url,offensive,indirect,anger_disgust,origin,women
keep mind im negro open mind got screen door best bar whole fuckin album lol,offensive,indirect,anger_sadness,origin,other
confidence ugly mongoloid like really what's wrong,offensive,indirect,confusion_disgust,disability,special_needs
@user @user suspicion upstairs chinaman neighbor feigning mental illness since 3 years agoslamming g @url,offensive,indirect,anger_fear_shock_sadness_disgust,origin,special_needs
border trash coming in!!!. go back come from. @url,fearful_hateful,direct,anger_shock,origin,individual
@user deluded cunt ! know ,offensive,indirect,anger_disgust,gender,women
hol up.. x famous weird kpop ching chong nighas like.. u cant even argue bro. even he's de @url,offensive,indirect,anger_indifference,origin,individual
adding saying ching chong im asian doesnt mean say it. arrogant non-asians think say?,normal,indirect,anger_confusion_sadness_shock_disgust,origin,muslims
donald trump guy advocates west feel free exploit shithole countries. bo @url,offensive,indirect,anger_disgust,origin,other
non limmigration naura pas la peau de letat providence #migrants #immigration @url,offensive,indirect,sadness_disgust,origin,immigrants
kind retard tells kid share ,offensive,indirect,anger_confusion_fear_indifference_sadness,disability,special_needs
@user @user get it? turned country shithole. let us @url,disrespectful_hateful,indirect,anger_disgust,origin,other
@user cunt,offensive_disrespectful,indirect,anger_shock,gender,women
never trust faggot android.,offensive,indirect,confusion_fear_indifference_sadness_disgust,sexual_orientation,special_needs
thank god lost virginity nigger,offensive,indirect,anger_disgust,origin,immigrants
people still using ching chong insult asians lmfao y'all look stupid,hateful,indirect,indifference_disgust,origin,individual
@user kinda looks like raghead tbh,offensive,indirect,anger_fear_shock_indifference_sadness,religion,other
@user seriously. kavvanaughs accuser arrested taken mexico alongside illegal aliens mexi @url,offensive_hateful,indirect,anger_indifference,origin,other
@user @user @user @user blocked retard reported account hateful @url,abusive_offensive_hateful_disrespectful_normal,indirect,anger_fear_shock_indifference_disgust,disability,special_needs
accent funny fucking retard,normal,indirect,anger_confusion,disability,special_needs
cunt came nowhere,normal,indirect,sadness_shock_indifference_disgust,gender,women
anyways harry styles could call dirty spic id still munch asshole shame,fearful_abusive_offensive_hateful_normal,direct,anger_sadness_shock_indifference_disgust,origin,other
@user @user @user c'est amusant cette remarque parce que justement les migrants ceux qu'o @url,normal,indirect,anger_disgust,other,women
@user mom talking queefing twat farts. shit hit fan,offensive,direct,anger_disgust,other,women
@user stupid cunt.,abusive_disrespectful,indirect,anger_sadness,gender,women
thoughts allen _ baby boy!!!!! he's cool better sa guitar pero sa vocals hinde mongoloid siya. h @url,hateful,indirect,anger_confusion_sadness_shock_disgust,origin,individual
@user @user could admit twat would probably enough next leader snp .,abusive_offensive_disrespectful_hateful_normal,indirect,sadness_disgust,gender,women
dem dumb nigger genes you. they'll join party actively trying exterminate them.,hateful,indirect,sadness_disgust,origin,special_needs
man fucking retarded needs mental evaluation. i've never seen someone obsessively hateful towards @url,hateful,direct,anger_shock,origin,special_needs
@user @user dirtiest chinaman criminal lee hsien loong inciting racial hatred malaysian @url,offensive_hateful,indirect,anger_disgust,origin,other
@user fuck faggot @url,abusive_hateful,indirect,confusion_sadness_shock_indifference_disgust,origin,women
fucking retard. nnorban lukashenko putin proved nationalism without bullets.nnyou're insane. @url,abusive_disrespectful,indirect,confusion_fear_shock_indifference_disgust,other,individual
fuck rich hill faggot,offensive,indirect,indifference_disgust,disability,left_wing_people
her: pussy gon make retarded n nme listen: @url,offensive,indirect,sadness_shock,disability,special_needs
remember nothing us retarded.,offensive_disrespectful,indirect,shock_disgust,disability,special_needs
@user cunt friend,offensive,indirect,anger_confusion_sadness_shock_disgust,origin,women
encourage y'all work yourselves. cause guy retarded bad things anytime wishes.,hateful,indirect,anger_confusion_sadness_shock_disgust,origin,special_needs
@user wealthy cunt addressing population reduced penury master plan kicks in...,normal,indirect,anger_disgust,origin,women
australian taxpayer supports funding humanities. sanctimonious twat. @url,offensive_disrespectful,indirect,fear_shock_indifference_sadness_disgust,other,other
@user @user bring disease n picked always. dewipe deblube n despix,offensive,indirect,sadness_shock,origin,refugees
 time de ficar mongol @url,normal,indirect,anger_confusion,origin,other
@user #qanonn@user let's hear america almost became shithole country 8 years humiliating @url,offensive_disrespectful,indirect,indifference_disgust,other,other
@user left guy expecting us work left faggot,offensive,direct,sadness_shock,sexual_orientation,special_needs
@user @user @user @user @user @user fucking retard right ? run @url,abusive_offensive,direct,anger_sadness,disability,special_needs
@user @user @user @user @user @user many arab states declare @url,normal,indirect,anger_confusion_sadness_indifference_disgust,other,other
@user one immature cunt last night,offensive,indirect,sadness_indifference,gender,women
@user @user @user @user one whether okay white,offensive,indirect,shock_disgust,origin,other
yes...yes is. need rid toxic feminazi's! trying destroy men. @url,offensive,indirect,anger_confusion_fear_indifference_sadness,gender,women
@user another soros paid feminazi. i'm finding interesting women butch. attorneys liar....,offensive_hateful,indirect,anger_shock,gender,women
terrorist leftist,hateful_disrespectful,indirect,confusion_indifference,other,other
@user haha faggot balls,offensive,direct,shock_disgust,sexual_orientation,other
@user @user @user ching chong live dimension? @url,normal,indirect,anger_disgust,origin,asians
@user @user fact freakin ridiculous. kemp mongoloid,abusive_offensive,direct,anger_confusion_shock_indifference_disgust,origin,individual
@user called likes coyle moyes monk laudrup &amp; koeman daft twat. i'm glad club car @url,offensive,indirect,anger_confusion_sadness_indifference_disgust,gender,women
@user lsu contention title retard.nni would call 1st class.,offensive,indirect,sadness_indifference,disability,special_needs
ain't gone say ain't dumb bitch bitches xtra retarded i'm talking bout short bus helm @url,offensive,indirect,anger_disgust,disability,women
bruh negro chief keef really recorded pump fisting track album hahahahaha,offensive,indirect,anger_confusion_shock_indifference_disgust,origin,individual
@user ugly ass bitch fat pig delete shit cunt bottom barrel faggot,offensive,direct,shock_disgust,gender,women
@user @user white areas though reminds trump/shithole countries' stuff,fearful_normal,indirect,confusion_disgust,origin,other
@user @user answer definitively: know retard?,offensive_disrespectful,indirect,anger_confusion_fear_shock_disgust,disability,special_needs
dumbasses really think i'm hurt call chink ching chong whatever bish i'm even hurt lmao,offensive,indirect,confusion_fear_indifference_sadness_disgust,origin,women
retard nearby.,offensive,indirect,anger_disgust,disability,special_needs
@user ole fiend lame ass negro lol,abusive_offensive,indirect,sadness_indifference,origin,other
ching ching chong chong dookie dookie,fearful_offensive_disrespectful_hateful_normal,indirect,anger_confusion_fear_shock_disgust,origin,other
@user @user lmao silly pet negro think massa gonna let disrespect misses?? biscuits ar @url,offensive,indirect,confusion_sadness_shock_indifference_disgust,origin,african_descent
@user we're shithole country. i'll still rep city state mad hard lol,offensive,indirect,sadness_disgust,other,other
@user ching chong right back ya,offensive,indirect,anger_confusion_sadness_shock_disgust,origin,special_needs
200 years tradition welcoming immigrants around world given us tremendous advantage,offensive,indirect,anger_sadness_shock_indifference_disgust,other,other
@user @user @user @user cant count illegal aliens deported faster ever.,offensive,indirect,anger_fear_shock_indifference_sadness,origin,indian/hindu
dyke sister getting dragged tsr comments be. @url,fearful_abusive_offensive_hateful_normal,indirect,sadness_disgust,gender,women
speaking xbox live really got called spic last week i'm still flabbergasted,offensive,direct,anger_fear_shock_indifference_disgust,origin,hispanics
met cutest dyke towson can't remember gave number,offensive_normal,indirect,confusion_indifference,sexual_orientation,other
@user @user @user bad - rise shithole countries tak @url,offensive,indirect,sadness_disgust,origin,other
remind time homegirl dating dyke neither one could open jar jelly lmao  @url,fearful_disrespectful,indirect,confusion_indifference,sexual_orientation,women
@user america shithole country. people get murdered houses worship movies political e @url,offensive,indirect,anger_disgust,origin,special_needs
really can't put level intelligence next semi-retard point ,fearful_offensive_disrespectful_hateful_normal,indirect,shock_indifference,disability,women
herenni two parts/a personnboricua/spicnpast presentnalive oppressedngiven cultural beautyn. . . @url,offensive,indirect,anger_indifference,other,other
@user @user retard cutting across two lanes stopping,offensive,indirect,anger_confusion_shock_indifference_disgust,disability,special_needs
@user bet cunt night banging away flute.,fearful_abusive_offensive_hateful_disrespectful,indirect,anger_disgust,other,women
recall democrats saying shithole countries exist. yet thousands people proving wrong. @url,offensive,indirect,confusion_indifference,origin,left_wing_people
@user @user @user rest country give fuck london shithole,offensive_hateful,direct,anger_indifference,origin,other
@user @user @user @user nah love word super funny like serf mongoloid days tho,offensive,direct,sadness_disgust,origin,other
